Market,RunType,Period,L,S,EntryBar,ExitBar,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,DurationBars,GrossPnL,TransactionCost,NetPnL,TurnoverContracts,TurnoverNotional,IsOOS
TY,walkforward_oos,1,4800,0.020000,404862,414350,06/12/1987 11:43,07/21/1987 13:51,1,96.625000,96.093750,9488,-531.250000,18.625000,-549.875000,2.000000,192718.750000,1
TY,walkforward_oos,1,4800,0.020000,414350,420673,07/21/1987 13:51,08/14/1987 11:14,-1,96.093750,95.750000,6323,343.750000,18.625000,325.125000,2.000000,191843.750000,1
TY,walkforward_oos,1,4800,0.020000,420673,423720,08/14/1987 11:14,08/27/1987 08:01,1,95.750000,94.406250,3047,-1343.750000,18.625000,-1362.375000,2.000000,190156.250000,1
TY,walkforward_oos,1,4800,0.020000,423720,427567,08/27/1987 08:01,09/11/1987 12:08,-1,94.406250,90.748125,3847,3658.125000,18.625000,3639.500000,2.000000,185154.375000,1
TY,walkforward_oos,2,4800,0.020000,431673,436161,09/29/1987 08:34,10/15/1987 11:22,-1,89.375000,86.572500,4488,2802.500000,18.625000,2783.875000,2.000000,175947.500000,1
TY,walkforward_oos,2,4800,0.020000,437400,438229,10/21/1987 08:01,10/23/1987 09:50,1,89.500000,92.946875,829,3446.875000,18.625000,3428.250000,2.000000,182446.875000,1
TY,walkforward_oos,2,4800,0.020000,441512,446406,11/05/1987 10:33,11/25/1987 08:07,1,94.843750,93.531250,4894,-1312.500000,18.625000,-1331.125000,2.000000,188375.000000,1
TY,walkforward_oos,2,4800,0.020000,446406,451691,11/25/1987 08:07,12/16/1987 12:12,-1,93.531250,92.405625,5285,1125.625000,18.625000,1107.000000,2.000000,185936.875000,1
TY,walkforward_oos,3,4800,0.020000,453603,456856,12/24/1987 08:04,01/08/1988 08:17,1,93.906250,92.824375,3253,-1081.875000,18.625000,-1100.500000,2.000000,186730.625000,1
TY,walkforward_oos,3,4800,0.020000,457173,458640,01/08/1988 13:34,01/15/1988 08:01,-1,92.718750,94.718750,1467,-2000.000000,18.625000,-2018.625000,2.000000,187437.500000,1
TY,walkforward_oos,3,4800,0.020000,458640,471004,01/15/1988 08:01,03/04/1988 10:05,1,94.718750,96.937500,12364,2218.750000,18.625000,2200.125000,2.000000,191656.250000,1
TY,walkforward_oos,4,4800,0.020000,481320,494279,04/15/1988 08:01,06/06/1988 14:00,-1,94.437500,92.906250,12959,1531.250000,18.625000,1512.625000,2.000000,187343.750000,1
TY,walkforward_oos,4,4800,0.020000,494279,497193,06/06/1988 14:00,06/17/1988 08:34,1,92.906250,92.946875,2914,40.625000,18.625000,22.000000,2.000000,185853.125000,1
TY,walkforward_oos,5,4800,0.020000,507346,508176,07/28/1988 09:47,08/01/1988 11:37,-1,92.000000,92.812500,830,-812.500000,18.625000,-831.125000,2.000000,184812.500000,1
TY,walkforward_oos,5,4800,0.020000,508176,510335,08/01/1988 11:37,08/09/1988 11:36,1,92.812500,92.000000,2159,-812.500000,18.625000,-831.125000,2.000000,184812.500000,1
TY,walkforward_oos,5,4800,0.020000,510335,515489,08/09/1988 11:36,08/29/1988 13:30,-1,92.000000,91.812500,5154,187.500000,18.625000,168.875000,2.000000,183812.500000,1
TY,walkforward_oos,5,4800,0.020000,515489,522684,08/29/1988 13:30,09/27/1988 13:25,1,91.812500,93.125000,7195,1312.500000,18.625000,1293.875000,2.000000,184937.500000,1
TY,walkforward_oos,5,4800,0.020000,522684,524529,09/27/1988 13:25,10/05/1988 08:10,-1,93.125000,94.531250,1845,-1406.250000,18.625000,-1424.875000,2.000000,187656.250000,1
