Period,Market,ISStart,ISEnd,OOSStart,OOSEnd,L,S,ISGrossObjective,ISNetObjective,ISGrossProfit,ISNetProfit,ISGrossMaxDD,ISNetMaxDD,OOSGrossObjective,OOSNetObjective,OOSGrossProfit,OOSNetProfit,OOSGrossMaxDD,OOSNetMaxDD,OOSClosedTrades,GridCombosTested
1,TY,01/03/1983 08:01,06/05/1987 14:00,06/08/1987 08:01,09/15/1987 14:00,4800,0.020000,5.315828,4.993551,27330.000000,26231.125000,5141.250000,5253.000000,0.673861,0.646443,2126.875000,2052.375000,3156.250000,3174.875000,4,35
2,TY,04/13/1983 08:01,09/15/1987 14:00,09/16/1987 08:01,12/23/1987 14:00,4800,0.020000,5.406637,5.078883,27796.875000,26679.375000,5141.250000,5253.000000,2.104228,2.053785,6687.500000,6603.687500,3178.125000,3215.375000,4,35
3,TY,07/22/1983 08:01,12/23/1987 14:00,12/24/1987 08:01,04/05/1988 14:00,4800,0.020000,6.097739,5.749964,31350.000000,30204.562500,5141.250000,5253.000000,0.337367,0.317746,1324.375000,1259.187500,3925.625000,3962.875000,3,35
4,TY,10/31/1983 08:01,04/05/1988 14:00,04/06/1988 08:01,07/14/1988 14:00,4800,0.020000,6.567469,6.213247,33765.000000,32638.187500,5141.250000,5253.000000,0.875923,0.846462,1853.125000,1806.562500,2115.625000,2134.250000,2,35
5,TY,02/09/1984 08:01,07/14/1988 14:00,07/15/1988 08:01,10/21/1988 14:00,4800,0.020000,6.946146,6.590960,35711.875000,34622.312500,5141.250000,5253.000000,-0.438095,-0.464046,-1437.500000,-1539.937500,3281.250000,3318.500000,5,35
6,TY,05/21/1984 08:01,10/21/1988 14:00,10/24/1988 08:01,01/24/1989 14:00,4800,0.020000,5.894967,5.555052,30307.500000,29180.687500,5141.250000,5253.000000,-0.358974,-0.378046,-1312.500000,-1396.312500,3656.250000,3693.500000,4,35
7,TY,08/29/1984 08:01,01/24/1989 14:00,01/25/1989 07:21,04/25/1989 14:00,4800,0.040000,5.585195,5.318340,32820.000000,31916.687500,5876.250000,6001.250000,0.430556,0.406496,968.750000,922.187500,2250.000000,2268.625000,2,35
8,TY,12/07/1984 08:01,04/25/1989 14:00,04/26/1989 07:21,07/25/1989 14:00,4800,0.040000,5.877686,5.610946,34538.750000,33672.687500,5876.250000,6001.250000,-0.053435,-0.073242,-218.750000,-302.562500,4093.750000,4131.000000,4,35
9,TY,03/20/1985 08:01,07/25/1989 14:00,07/26/1989 07:21,10/23/1989 14:00,4800,0.040000,5.824505,5.555770,34226.250000,33341.562500,5876.250000,6001.250000,-0.090909,-0.109209,-406.250000,-490.062500,4468.750000,4487.375000,4,35
10,TY,06/28/1985 08:01,10/23/1989 14:00,10/24/1989 07:21,01/23/1990 14:00,4800,0.040000,4.983233,4.674953,28977.500000,28055.562500,5815.000000,6001.250000,-0.448819,-0.460218,-1781.250000,-1865.062500,3968.750000,4052.562500,4,35
11,TY,10/08/1985 08:01,01/23/1990 14:00,01/24/1990 07:21,04/24/1990 14:00,9600,0.040000,4.537094,4.467584,37000.000000,36599.562500,8155.000000,8192.250000,1.984375,1.979719,3968.750000,3959.437500,2000.000000,2000.000000,0,35
12,TY,01/17/1986 08:01,04/24/1990 14:00,04/25/1990 07:21,07/24/1990 14:00,9600,0.040000,4.196045,4.128086,34218.750000,33818.312500,8155.000000,8192.250000,-0.897727,-0.900432,-4937.500000,-5002.687500,5500.000000,5555.875000,3,35
13,TY,04/29/1986 08:01,07/24/1990 14:00,07/25/1990 07:21,10/22/1990 14:00,9600,0.040000,2.692826,2.627155,21960.000000,21522.312500,8155.000000,8192.250000,-0.010526,-0.026047,-31.250000,-77.812500,2968.750000,2987.375000,2,35
14,TY,08/07/1986 08:01,10/22/1990 14:00,10/23/1990 07:21,01/22/1991 14:00,4800,0.010000,3.633587,2.799517,17289.062500,15510.375000,4758.125000,5540.375000,-0.036255,-0.057862,-148.125000,-241.250000,4085.625000,4169.437500,5,35
