Market,L,S,BarsBack,ISStart,ISEnd,OOSStart,OOSEnd,ISGrossProfit,ISNetProfit,ISGrossWorstDrawDown,ISNetWorstDrawDown,ISGrossStDev,ISNetStDev,ISTradeUnits,ISGrossObjective,ISNetObjective,OOSGrossProfit,OOSNetProfit,OOSGrossWorstDrawDown,OOSNetWorstDrawDown,OOSGrossStDev,OOSNetStDev,OOSTradeUnits,OOSGrossObjective,OOSNetObjective
BTC,276,0.010000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,1078033.750000,993258.750000,35674.250000,37724.250000,175.731302,175.810620,3391.000000,30.218820,26.329450,740087.250000,706724.750000,129704.250000,131729.250000,418.024944,418.135614,1334.500000,5.705960,5.364980
BTC,276,0.020000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,824536.000000,777248.500000,59645.000000,60695.000000,229.656349,229.749691,1891.500000,13.824059,12.805808,657180.500000,639855.500000,140113.500000,140613.500000,559.448154,559.527958,693.000000,4.690344,4.550456
BTC,276,0.030000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,656573.250000,622010.750000,113041.750000,114691.750000,274.284673,274.377345,1382.500000,5.808237,5.423326,407290.500000,394065.500000,150742.250000,151217.250000,640.294754,640.374021,529.000000,2.701900,2.605956
BTC,276,0.040000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,423102.000000,393414.500000,180775.000000,182300.000000,301.666507,301.754601,1187.500000,2.340490,2.158061,483221.000000,471721.000000,170735.000000,171335.000000,682.036277,682.105903,460.000000,2.830240,2.753209
BTC,276,0.050000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,386275.000000,358987.500000,172662.500000,173725.000000,324.199683,324.284280,1091.500000,2.237168,2.066412,313977.500000,302877.500000,181600.000000,182300.000000,708.222359,708.298558,444.000000,1.728951,1.661423
BTC,276,0.060000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,324331.500000,298219.000000,219961.000000,221036.000000,337.263223,337.340188,1044.500000,1.474495,1.349187,317323.000000,306498.000000,224890.000000,227715.000000,722.973796,723.048950,433.000000,1.411014,1.345972
BTC,552,0.010000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,802798.750000,744673.750000,26242.250000,26967.250000,148.198399,148.244619,2325.000000,30.591841,27.614004,472435.000000,449022.500000,102373.500000,103823.500000,349.321495,349.421902,936.500000,4.614817,4.324864
BTC,552,0.020000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,544906.000000,511668.500000,40206.000000,40881.000000,192.228888,192.300272,1329.500000,13.552853,12.516047,491714.500000,479914.500000,114257.500000,115007.500000,471.310489,471.369820,472.000000,4.303564,4.172897
BTC,552,0.030000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,479632.500000,456470.000000,57106.500000,57981.500000,232.069221,232.134392,926.500000,8.398913,7.872684,188565.750000,179840.750000,137555.000000,139980.000000,555.208016,555.256424,349.000000,1.370839,1.284760
BTC,552,0.040000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,305843.000000,287230.500000,99666.000000,100491.000000,260.948486,261.014310,744.500000,3.068679,2.858271,127577.000000,120552.000000,230686.000000,232736.000000,613.788367,613.830946,281.000000,0.553033,0.517977
BTC,552,0.050000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,298191.250000,282303.750000,96895.000000,97520.000000,287.192965,287.248048,635.500000,3.077468,2.894829,-35675.000000,-42075.000000,289982.500000,292082.500000,659.729759,659.779459,256.000000,-0.123025,-0.144052
BTC,552,0.060000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,212083.000000,197595.500000,136596.000000,137196.000000,305.924003,305.975404,579.500000,1.552630,1.440242,35333.000000,29483.000000,391685.000000,393785.000000,689.299430,689.344224,234.000000,0.090208,0.074871
BTC,828,0.010000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,661005.500000,613780.500000,26907.500000,27632.500000,136.473387,136.510749,1889.000000,24.565846,22.212268,440254.000000,421366.500000,76518.750000,77643.750000,313.844523,313.932276,755.500000,5.753544,5.426921
BTC,828,0.020000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,444904.000000,417716.500000,38299.500000,38874.500000,174.441558,174.498872,1087.500000,11.616444,10.745257,529685.500000,520335.500000,105882.000000,106507.000000,422.481526,422.527644,374.000000,5.002602,4.885458
BTC,828,0.030000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,366044.250000,347106.750000,58970.000000,59695.000000,210.772264,210.825628,757.500000,6.207296,5.814670,189089.750000,182089.750000,106634.250000,107759.250000,494.823720,494.861802,280.000000,1.773255,1.689783
BTC,828,0.040000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,233759.000000,218896.500000,92309.000000,92984.000000,238.597216,238.649291,594.500000,2.532353,2.354131,149211.000000,143761.000000,151603.000000,152528.000000,557.097972,557.123110,218.000000,0.984222,0.942522
BTC,828,0.050000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,182450.000000,170012.500000,98320.000000,98645.000000,263.262502,263.307110,497.500000,1.855675,1.723478,61178.750000,56553.750000,149216.250000,149891.250000,616.684156,616.716055,185.000000,0.410001,0.377299
BTC,828,0.060000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,46391.000000,35203.500000,147828.000000,151453.000000,283.931698,283.971734,447.500000,0.313817,0.232438,113775.000000,109775.000000,207240.500000,208615.500000,650.867844,650.895531,160.000000,0.549000,0.526207
BTC,1104,0.010000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,573936.000000,533336.000000,26917.750000,27742.750000,128.494514,128.530713,1624.000000,21.321842,19.224338,411997.250000,395809.750000,50975.250000,51475.250000,286.707274,286.800268,647.500000,8.082300,7.689322
BTC,1104,0.020000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,379750.500000,356313.000000,37123.500000,37623.500000,163.308334,163.363864,937.500000,10.229383,9.470491,431889.500000,423739.500000,85530.500000,86030.500000,386.294469,386.347794,326.000000,5.049538,4.925457
BTC,1104,0.030000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,310202.500000,293815.000000,59483.500000,60346.000000,196.254092,196.305113,655.500000,5.214934,4.868840,128903.250000,122778.250000,109011.500000,110811.500000,456.608122,456.650637,245.000000,1.182474,1.107992
BTC,1104,0.040000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,189875.000000,177012.500000,96412.000000,97174.500000,220.161094,220.208213,514.500000,1.969413,1.821594,155680.000000,151080.000000,120188.000000,121000.500000,520.414785,520.441817,184.000000,1.295304,1.248590
BTC,1104,0.050000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,173776.250000,163188.750000,89235.000000,89685.000000,244.363241,244.401730,423.500000,1.947400,1.819577,43108.750000,39233.750000,197436.250000,198161.250000,581.076193,581.109824,155.000000,0.218343,0.197989
BTC,1104,0.060000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,96916.000000,87628.500000,105746.000000,106246.000000,264.526875,264.561525,371.500000,0.916498,0.824770,74827.500000,71577.500000,213749.000000,214374.000000,621.007911,621.036053,130.000000,0.350072,0.333891
BTC,1380,0.010000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,545467.500000,508942.500000,20678.750000,21403.750000,123.149798,123.180400,1461.000000,26.378166,23.778193,305454.250000,290866.750000,52222.250000,54147.250000,266.630393,266.725214,583.500000,5.849121,5.371773
BTC,1380,0.020000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,382668.500000,361731.000000,36433.000000,37258.000000,155.188256,155.239050,837.500000,10.503349,9.708814,319887.000000,312537.000000,78839.000000,79289.000000,363.629031,363.681895,294.000000,4.057472,3.941745
BTC,1380,0.030000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,323476.250000,308788.750000,58166.500000,58791.500000,186.319050,186.365578,587.500000,5.561212,5.252269,66154.250000,60704.250000,134272.000000,135872.000000,432.617307,432.656501,218.000000,0.492688,0.446775
BTC,1380,0.040000,17001,12/18/2017,10/12/2023,10/13/2023,04/10/2026,230551.000000,219013.500000,81744.000000,82406.500000,209.027365,209.068079,461.500000,2.820403,2.657721,68841.000000,64741.000000,161473.000000,162210.500000,491.818878,491.844752,164.000000,0.426331,0.399117
