Market,RunType,Period,L,S,EntryBar,ExitBar,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,DurationBars,GrossPnL,TransactionCost,NetPnL,TurnoverContracts,TurnoverNotional,IsOOS
BTC,reference_full,0,552,0.010000,17396,17398,03/19/2018 09:15,03/19/2018 09:25,1,8640.000000,8632.800000,2,-36.000000,25.000000,-61.000000,2.000000,86364.000000,1
BTC,reference_full,0,552,0.010000,17698,17750,03/20/2018 11:25,03/20/2018 15:45,1,8720.000000,8934.750000,52,1073.750000,25.000000,1048.750000,2.000000,88273.750000,1
BTC,reference_full,0,552,0.010000,17824,17851,03/20/2018 22:55,03/21/2018 01:10,1,9025.000000,9033.750000,27,43.750000,25.000000,18.750000,2.000000,90293.750000,1
BTC,reference_full,0,552,0.010000,17962,17969,03/21/2018 10:25,03/21/2018 11:00,1,9125.000000,9093.150000,7,-159.250000,25.000000,-184.250000,2.000000,91090.750000,1
BTC,reference_full,0,552,0.010000,18233,18239,03/22/2018 10:00,03/22/2018 10:30,-1,8510.000000,8585.000000,6,-375.000000,25.000000,-400.000000,2.000000,85475.000000,1
BTC,reference_full,0,552,0.010000,18356,18374,03/22/2018 21:15,03/22/2018 22:45,-1,8500.000000,8418.350000,18,408.250000,25.000000,383.250000,2.000000,84591.750000,1
BTC,reference_full,0,552,0.010000,18484,18496,03/23/2018 07:55,03/23/2018 08:55,-1,8335.000000,8352.700000,12,-88.500000,25.000000,-113.500000,2.000000,83438.500000,1
BTC,reference_full,0,552,0.010000,18720,18756,03/26/2018 04:35,03/26/2018 07:35,-1,8270.000000,8095.150000,36,874.250000,25.000000,849.250000,2.000000,81825.750000,1
BTC,reference_full,0,552,0.010000,18811,18815,03/26/2018 12:10,03/26/2018 12:30,-1,8015.000000,7928.500000,4,432.500000,25.000000,407.500000,2.000000,79717.500000,1
BTC,reference_full,0,552,0.010000,18834,18835,03/26/2018 14:05,03/26/2018 14:10,-1,7850.000000,7918.400000,1,-342.000000,25.000000,-367.000000,2.000000,78842.000000,1
BTC,reference_full,0,552,0.010000,18917,18919,03/26/2018 22:00,03/26/2018 22:10,-1,7840.000000,7903.250000,2,-316.250000,25.000000,-341.250000,2.000000,78716.250000,1
BTC,reference_full,0,552,0.010000,18939,18949,03/26/2018 23:50,03/27/2018 00:40,-1,7825.000000,7837.600000,10,-63.000000,25.000000,-88.000000,2.000000,78313.000000,1
BTC,reference_full,0,552,0.010000,19155,19166,03/27/2018 18:50,03/27/2018 19:45,-1,7760.000000,7812.350000,11,-261.750000,25.000000,-286.750000,2.000000,77861.750000,1
BTC,reference_full,0,552,0.010000,19484,19539,03/28/2018 23:15,03/29/2018 03:50,-1,7735.000000,7544.700000,55,951.500000,25.000000,926.500000,2.000000,76398.500000,1
BTC,reference_full,0,552,0.010000,19548,19578,03/29/2018 04:35,03/29/2018 07:05,-1,7470.000000,7499.250000,30,-146.250000,25.000000,-171.250000,2.000000,74846.250000,1
BTC,reference_full,0,552,0.010000,19603,19612,03/29/2018 09:10,03/29/2018 09:55,-1,7425.000000,7398.250000,9,133.750000,25.000000,108.750000,2.000000,74116.250000,1
BTC,reference_full,0,552,0.010000,19673,19709,03/29/2018 15:00,04/01/2018 19:00,-1,7325.000000,6842.750000,36,2411.250000,25.000000,2386.250000,2.000000,70838.750000,1
BTC,reference_full,0,552,0.010000,19711,19717,04/01/2018 19:10,04/01/2018 19:40,-1,6775.000000,6842.750000,6,-338.750000,25.000000,-363.750000,2.000000,68088.750000,1
BTC,reference_full,0,552,0.010000,20208,20232,04/03/2018 13:35,04/03/2018 15:35,1,7460.000000,7444.800000,24,-76.000000,25.000000,-101.000000,2.000000,74524.000000,1
BTC,reference_full,0,552,0.010000,20433,20435,04/04/2018 09:20,04/04/2018 09:30,-1,6875.000000,6878.100000,2,-15.500000,25.000000,-40.500000,2.000000,68765.500000,1
BTC,reference_full,0,552,0.010000,20453,20454,04/04/2018 11:00,04/04/2018 11:05,-1,6810.000000,6817.500000,1,-37.500000,25.000000,-62.500000,2.000000,68137.500000,1
BTC,reference_full,0,552,0.010000,20480,20486,04/04/2018 13:15,04/04/2018 13:45,-1,6750.000000,6792.250000,6,-211.250000,25.000000,-236.250000,2.000000,67711.250000,1
BTC,reference_full,0,552,0.010000,20522,20532,04/04/2018 17:45,04/04/2018 18:35,-1,6725.000000,6777.100000,10,-260.500000,25.000000,-285.500000,2.000000,67510.500000,1
