Market,RunType,Period,L,S,EntryBar,ExitBar,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,DurationBars,GrossPnL,TransactionCost,NetPnL,TurnoverContracts,TurnoverNotional,IsOOS
TY,walkforward_oos,1,960,0.020000,80972,82870,06/12/1987 11:45,07/21/1987 13:55,1,96.625000,96.093750,1898,-531.250000,18.625000,-549.875000,2.000000,192718.750000,1
TY,walkforward_oos,1,960,0.020000,82870,84134,07/21/1987 13:55,08/14/1987 11:15,-1,96.093750,95.750000,1264,343.750000,18.625000,325.125000,2.000000,191843.750000,1
TY,walkforward_oos,1,960,0.020000,84134,84744,08/14/1987 11:15,08/27/1987 08:05,1,95.750000,94.406250,610,-1343.750000,18.625000,-1362.375000,2.000000,190156.250000,1
TY,walkforward_oos,1,960,0.020000,84744,85513,08/27/1987 08:05,09/11/1987 12:10,-1,94.406250,90.748125,769,3658.125000,18.625000,3639.500000,2.000000,185154.375000,1
TY,walkforward_oos,2,960,0.020000,86334,87232,09/29/1987 08:35,10/15/1987 11:25,-1,89.375000,86.572500,898,2802.500000,18.625000,2783.875000,2.000000,175947.500000,1
TY,walkforward_oos,2,960,0.020000,87480,87645,10/21/1987 08:05,10/23/1987 09:50,1,89.500000,92.946875,165,3446.875000,18.625000,3428.250000,2.000000,182446.875000,1
TY,walkforward_oos,2,960,0.020000,88302,89281,11/05/1987 10:35,11/25/1987 08:10,1,94.843750,93.531250,979,-1312.500000,18.625000,-1331.125000,2.000000,188375.000000,1
TY,walkforward_oos,2,960,0.020000,89281,90338,11/25/1987 08:10,12/16/1987 12:15,-1,93.531250,92.405625,1057,1125.625000,18.625000,1107.000000,2.000000,185936.875000,1
TY,walkforward_oos,3,960,0.020000,90720,91371,12/24/1987 08:05,01/08/1988 08:20,1,93.906250,92.824375,651,-1081.875000,18.625000,-1100.500000,2.000000,186730.625000,1
TY,walkforward_oos,3,960,0.020000,91434,91728,01/08/1988 13:35,01/15/1988 08:05,-1,92.718750,94.718750,294,-2000.000000,18.625000,-2018.625000,2.000000,187437.500000,1
TY,walkforward_oos,3,960,0.020000,91728,94200,01/15/1988 08:05,03/04/1988 10:05,1,94.718750,96.937500,2472,2218.750000,18.625000,2200.125000,2.000000,191656.250000,1
TY,walkforward_oos,4,960,0.020000,96264,98855,04/15/1988 08:05,06/06/1988 14:00,-1,94.437500,92.906250,2591,1531.250000,18.625000,1512.625000,2.000000,187343.750000,1
TY,walkforward_oos,4,960,0.020000,98855,99438,06/06/1988 14:00,06/17/1988 08:35,1,92.906250,92.946875,583,40.625000,18.625000,22.000000,2.000000,185853.125000,1
TY,walkforward_oos,5,960,0.020000,101469,101635,07/28/1988 09:50,08/01/1988 11:40,-1,92.000000,92.812500,166,-812.500000,18.625000,-831.125000,2.000000,184812.500000,1
TY,walkforward_oos,5,960,0.020000,101635,102067,08/01/1988 11:40,08/09/1988 11:40,1,92.812500,92.000000,432,-812.500000,18.625000,-831.125000,2.000000,184812.500000,1
TY,walkforward_oos,5,960,0.020000,102067,103103,08/09/1988 11:40,08/29/1988 14:00,-1,92.000000,91.812500,1036,187.500000,18.625000,168.875000,2.000000,183812.500000,1
TY,walkforward_oos,5,960,0.020000,103103,104536,08/29/1988 14:00,09/27/1988 13:25,1,91.812500,93.125000,1433,1312.500000,18.625000,1293.875000,2.000000,184937.500000,1
TY,walkforward_oos,5,960,0.020000,104536,104905,09/27/1988 13:25,10/05/1988 08:10,-1,93.125000,94.531250,369,-1406.250000,18.625000,-1424.875000,2.000000,187656.250000,1
TY,walkforward_oos,6,960,0.020000,106089,106560,10/27/1988 10:50,11/07/1988 07:25,1,95.343750,94.437500,471,-906.250000,18.625000,-924.875000,2.000000,189781.250000,1
TY,walkforward_oos,6,960,0.020000,106560,108234,11/07/1988 07:25,12/06/1988 13:35,-1,94.437500,93.718750,1674,718.750000,18.625000,700.125000,2.000000,188156.250000,1
TY,walkforward_oos,6,960,0.020000,108234,108640,12/06/1988 13:35,12/14/1988 07:25,1,93.718750,92.437500,406,-1281.250000,18.625000,-1299.875000,2.000000,186156.250000,1
TY,walkforward_oos,6,960,0.020000,108640,110258,12/14/1988 07:25,01/13/1989 08:55,-1,92.437500,93.218750,1618,-781.250000,18.625000,-799.875000,2.000000,185656.250000,1
TY,walkforward_oos,7,960,0.040000,110893,111816,01/25/1989 08:30,02/09/1989 12:05,1,94.250000,93.250000,923,-1000.000000,18.625000,-1018.625000,2.000000,187500.000000,1
TY,walkforward_oos,7,960,0.040000,111816,114560,02/09/1989 12:05,04/03/1989 07:25,-1,93.250000,92.156250,2744,1093.750000,18.625000,1075.125000,2.000000,185406.250000,1
TY,walkforward_oos,8,960,0.040000,115922,116737,04/26/1989 07:35,05/10/1989 08:50,1,93.531250,92.687500,815,-843.750000,18.625000,-862.375000,2.000000,186218.750000,1
TY,walkforward_oos,8,960,0.040000,116737,116882,05/10/1989 08:50,05/12/1989 07:35,-1,92.687500,94.156250,145,-1468.750000,18.625000,-1487.375000,2.000000,186843.750000,1
TY,walkforward_oos,8,960,0.040000,116882,119128,05/12/1989 07:35,06/22/1989 08:05,1,94.156250,97.156250,2246,3000.000000,18.625000,2981.375000,2.000000,191312.500000,1
TY,walkforward_oos,8,960,0.040000,119128,119607,06/22/1989 08:05,06/30/1989 08:00,-1,97.156250,98.937500,479,-1781.250000,18.625000,-1799.875000,2.000000,196093.750000,1
TY,walkforward_oos,9,960,0.040000,121042,121840,07/27/1989 07:35,08/10/1989 07:25,1,100.187500,99.375000,798,-812.500000,18.625000,-831.125000,2.000000,199562.500000,1
TY,walkforward_oos,9,960,0.040000,121840,123531,08/10/1989 07:25,09/11/1989 08:20,-1,99.375000,98.718750,1691,656.250000,18.625000,637.625000,2.000000,198093.750000,1
TY,walkforward_oos,9,960,0.040000,123531,124237,09/11/1989 08:20,09/21/1989 13:50,1,98.718750,98.250000,706,-468.750000,18.625000,-487.375000,2.000000,196968.750000,1
TY,walkforward_oos,9,960,0.040000,124237,125042,09/21/1989 13:50,10/06/1989 07:35,-1,98.250000,99.031250,805,-781.250000,18.625000,-799.875000,2.000000,197281.250000,1
TY,walkforward_oos,10,960,0.040000,126737,126986,11/06/1989 08:50,11/09/1989 09:35,-1,99.468750,100.812500,249,-1343.750000,18.625000,-1362.375000,2.000000,200281.250000,1
TY,walkforward_oos,10,960,0.040000,126986,128562,11/09/1989 09:35,12/08/1989 07:35,1,100.812500,100.062500,1576,-750.000000,18.625000,-768.625000,2.000000,200875.000000,1
TY,walkforward_oos,10,960,0.040000,128562,128888,12/08/1989 07:35,12/14/1989 08:05,-1,100.062500,100.843750,326,-781.250000,18.625000,-799.875000,2.000000,200906.250000,1
TY,walkforward_oos,10,960,0.040000,128888,129499,12/14/1989 08:05,12/26/1989 12:20,1,100.843750,99.937500,611,-906.250000,18.625000,-924.875000,2.000000,200781.250000,1
TY,walkforward_oos,12,1920,0.040000,136181,137682,04/26/1990 09:10,05/23/1990 07:35,-1,93.343750,95.906250,1501,-2562.500000,18.625000,-2581.125000,2.000000,189250.000000,1
TY,walkforward_oos,12,1920,0.040000,137682,140410,05/23/1990 07:35,07/12/1990 08:15,1,95.906250,95.843750,2728,-62.500000,18.625000,-81.125000,2.000000,191750.000000,1
TY,walkforward_oos,12,1920,0.040000,140410,140989,07/12/1990 08:15,07/23/1990 09:50,-1,95.843750,97.218750,579,-1375.000000,18.625000,-1393.625000,2.000000,193062.500000,1
TY,walkforward_oos,13,1920,0.040000,141361,141810,07/30/1990 07:30,08/06/1990 11:35,1,97.375000,95.625000,449,-1750.000000,18.625000,-1768.625000,2.000000,193000.000000,1
TY,walkforward_oos,13,1920,0.040000,141810,144891,08/06/1990 11:35,10/01/1990 08:20,-1,95.625000,94.875000,3081,750.000000,18.625000,731.375000,2.000000,190500.000000,1
TY,walkforward_oos,14,960,0.010000,146724,149153,11/01/1990 07:45,12/14/1990 10:10,1,96.187500,99.123750,2429,2936.250000,18.625000,2917.625000,2.000000,195311.250000,1
TY,walkforward_oos,14,960,0.010000,149611,149762,12/24/1990 08:20,12/27/1990 07:35,-1,98.281250,98.664375,151,-383.125000,18.625000,-401.750000,2.000000,196945.625000,1
TY,walkforward_oos,14,960,0.010000,150082,150240,01/03/1991 07:35,01/07/1991 07:25,1,99.843750,98.969062,158,-874.687500,18.625000,-893.312500,2.000000,198812.812500,1
TY,walkforward_oos,14,960,0.010000,150478,150562,01/09/1991 13:55,01/11/1991 07:35,-1,97.687500,98.569688,84,-882.187500,18.625000,-900.812500,2.000000,196257.187500,1
TY,walkforward_oos,14,960,0.010000,150640,150880,01/14/1991 07:25,01/17/1991 07:25,-1,97.593750,98.538125,240,-944.375000,18.625000,-963.000000,2.000000,196131.875000,1
TY,walkforward_oos,15,1920,0.040000,151762,153204,02/01/1991 07:35,02/28/1991 07:45,1,99.968750,99.125000,1442,-843.750000,18.625000,-862.375000,2.000000,199093.750000,1
TY,walkforward_oos,15,1920,0.040000,153204,155140,02/28/1991 07:45,04/04/1991 09:05,-1,99.125000,99.156250,1936,-31.250000,18.625000,-49.875000,2.000000,198281.250000,1
TY,walkforward_oos,16,1920,0.010000,156800,157041,05/03/1991 07:25,05/08/1991 07:30,1,99.812500,98.876250,241,-936.250000,18.625000,-954.875000,2.000000,198688.750000,1
TY,walkforward_oos,16,1920,0.010000,157388,157854,05/14/1991 09:45,05/22/1991 08:35,-1,98.281250,99.074687,466,-793.437500,18.625000,-812.062500,2.000000,197355.937500,1
TY,walkforward_oos,16,1920,0.010000,158406,159163,06/03/1991 07:55,06/14/1991 11:00,-1,98.093750,96.991563,757,1102.187500,18.625000,1083.562500,2.000000,195085.312500,1
TY,walkforward_oos,18,1920,0.040000,166347,166962,10/22/1991 09:40,11/01/1991 07:35,-1,101.218750,103.218750,615,-2000.000000,18.625000,-2018.625000,2.000000,204437.500000,1
