Market,L,S,BarsBack,ISStart,ISEnd,OOSStart,OOSEnd,ISGrossProfit,ISNetProfit,ISGrossWorstDrawDown,ISNetWorstDrawDown,ISGrossStDev,ISNetStDev,ISTradeUnits,ISGrossObjective,ISNetObjective,OOSGrossProfit,OOSNetProfit,OOSGrossWorstDrawDown,OOSNetWorstDrawDown,OOSGrossStDev,OOSNetStDev,OOSTradeUnits,OOSGrossObjective,OOSNetObjective
TY,960,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,62483.437500,50116.437500,24711.875000,28176.937500,41.939335,41.979251,664.000000,2.528478,1.778633,39009.687500,34884.250000,10076.718750,11287.343750,38.439979,38.484697,221.500000,3.871269,3.090563
TY,960,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,63935.390625,55172.328125,34181.250000,36583.875000,48.228631,48.262538,470.500000,1.870481,1.508105,29856.328125,26392.078125,12764.921875,14238.390625,42.788877,42.826531,186.000000,2.338935,1.853586
TY,960,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,44623.125000,36791.312500,37056.250000,39235.375000,51.573593,51.607030,420.500000,1.204200,0.937708,25378.125000,22081.500000,13371.562500,14608.187500,44.440946,44.476722,177.000000,1.897918,1.511584
TY,960,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,35793.437500,28408.625000,36288.750000,38374.750000,54.305626,54.337170,396.500000,0.986351,0.740295,22128.281250,18906.156250,15765.625000,17572.250000,46.200700,46.236457,173.000000,1.403578,1.075910
TY,960,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,49811.250000,42575.437500,36843.750000,38929.750000,55.254212,55.283783,388.500000,1.351959,1.093648,19315.000000,16092.875000,15765.625000,17572.250000,46.636527,46.670890,173.000000,1.225134,0.915812
TY,1280,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,71130.156250,60551.156250,11832.656250,13525.937500,39.239107,39.265560,568.000000,6.011343,4.476670,37493.750000,34029.500000,12196.875000,13686.875000,36.273780,36.304665,186.000000,3.074046,2.486287
TY,1280,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,73150.546875,65914.734375,15774.062500,17571.375000,45.658719,45.676566,388.500000,4.637394,3.751256,22797.187500,19994.125000,12432.500000,13717.625000,41.359611,41.387767,150.500000,1.833677,1.457550
TY,1280,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,74554.375000,68585.062500,17838.125000,18471.375000,49.696127,49.714062,320.500000,4.179496,3.713046,17885.000000,15314.750000,18151.562500,19641.562500,43.610270,43.638472,138.000000,0.985315,0.779711
TY,1280,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,79125.000000,73826.187500,17937.500000,18552.125000,53.578220,53.594786,284.500000,4.411150,3.979393,19279.687500,16839.812500,21072.187500,22543.562500,45.961721,45.988662,131.000000,0.914935,0.746990
TY,1280,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,89240.625000,84109.437500,17937.500000,18552.125000,54.789842,54.805013,275.500000,4.975087,4.533682,16955.625000,14515.750000,21500.000000,22971.375000,46.262986,46.289760,131.000000,0.788634,0.631906
