Market,RunType,Period,L,S,EntryBar,ExitBar,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,DurationBars,GrossPnL,TransactionCost,NetPnL,TurnoverContracts,TurnoverNotional,IsOOS
TY,reference_full,0,2240,0.040000,17064,19823,12/08/1983 08:05,02/02/1984 10:00,-1,78.843750,80.468750,2759,-1625.000000,18.625000,-1643.625000,2.000000,159312.500000,1
TY,reference_full,0,2240,0.040000,19823,20808,02/02/1984 10:00,02/23/1984 08:05,1,80.468750,79.125000,985,-1343.750000,18.625000,-1362.375000,2.000000,159593.750000,1
TY,reference_full,0,2240,0.040000,20808,25908,02/23/1984 08:05,06/04/1984 13:05,-1,79.125000,72.572500,5100,6552.500000,18.625000,6533.875000,2.000000,151697.500000,1
TY,reference_full,0,2240,0.040000,27874,35292,07/13/1984 08:55,12/07/1984 09:05,1,73.843750,79.140000,7418,5296.250000,18.625000,5277.625000,2.000000,152983.750000,1
TY,reference_full,0,2240,0.040000,37442,39096,01/22/1985 08:15,02/25/1985 08:05,1,81.343750,79.687500,1654,-1656.250000,18.625000,-1674.875000,2.000000,161031.250000,1
TY,reference_full,0,2240,0.040000,39096,41328,02/25/1985 08:05,04/10/1985 08:05,-1,79.687500,79.875000,2232,-187.500000,18.625000,-206.125000,2.000000,159562.500000,1
TY,reference_full,0,2240,0.040000,41328,45072,04/10/1985 08:05,06/24/1985 08:05,1,79.875000,85.110000,3744,5235.000000,18.625000,5216.375000,2.000000,164985.000000,1
TY,reference_full,0,2240,0.040000,46670,48028,07/25/1985 09:15,08/21/1985 08:25,-1,84.406250,87.002500,1358,-2596.250000,18.625000,-2614.875000,2.000000,171408.750000,1
TY,reference_full,0,2240,0.040000,48096,49059,08/22/1985 08:05,09/11/1985 10:20,1,87.343750,84.240000,963,-3103.750000,18.625000,-3122.375000,2.000000,171583.750000,1
TY,reference_full,0,2240,0.040000,50975,60277,10/17/1985 14:00,04/24/1986 09:10,1,86.406250,101.040000,9302,14633.750000,18.625000,14615.125000,2.000000,187446.250000,1
TY,reference_full,0,2240,0.040000,61061,62785,05/09/1986 08:30,06/13/1986 08:10,-1,100.500000,98.377500,1724,2122.500000,18.625000,2103.875000,2.000000,198877.500000,1
TY,reference_full,0,2240,0.040000,63360,67248,06/25/1986 08:05,09/11/1986 08:05,1,101.187500,100.950000,3888,-237.500000,18.625000,-256.125000,2.000000,202137.500000,1
TY,reference_full,0,2240,0.040000,67267,69768,09/11/1986 09:40,10/30/1986 08:05,-1,100.500000,102.937500,2501,-2437.500000,18.625000,-2456.125000,2.000000,203437.500000,1
TY,reference_full,0,2240,0.040000,69768,74842,10/30/1986 08:05,02/10/1987 10:55,1,102.937500,103.250000,5074,312.500000,18.625000,293.875000,2.000000,206187.500000,1
TY,reference_full,0,2240,0.040000,74842,81006,02/10/1987 10:55,06/15/1987 08:35,-1,103.250000,97.110000,6164,6140.000000,18.625000,6121.375000,2.000000,200360.000000,1
TY,reference_full,0,2240,0.040000,81210,83212,06/17/1987 13:35,07/28/1987 12:25,1,97.312500,95.250000,2002,-2062.500000,18.625000,-2081.125000,2.000000,192562.500000,1
TY,reference_full,0,2240,0.040000,83212,87408,07/28/1987 12:25,10/20/1987 08:05,-1,95.250000,88.270000,4196,6980.000000,18.625000,6961.375000,2.000000,183520.000000,1
TY,reference_full,0,2240,0.040000,87480,90000,10/21/1987 08:05,12/10/1987 08:05,1,91.218750,91.593750,2520,375.000000,18.625000,356.375000,2.000000,182812.500000,1
TY,reference_full,0,2240,0.040000,90000,91001,12/10/1987 08:05,12/30/1987 13:30,-1,91.593750,94.217500,1001,-2623.750000,18.625000,-2642.375000,2.000000,185811.250000,1
TY,reference_full,0,2240,0.040000,91158,94964,01/05/1988 08:35,03/18/1988 13:45,1,94.687500,96.437500,3806,1750.000000,18.625000,1731.375000,2.000000,191125.000000,1
TY,reference_full,0,2240,0.040000,94964,99216,03/18/1988 13:45,06/14/1988 08:05,-1,96.437500,94.125000,4252,2312.500000,18.625000,2293.875000,2.000000,190562.500000,1
TY,reference_full,0,2240,0.040000,99216,101469,06/14/1988 08:05,07/28/1988 09:50,1,94.125000,92.000000,2253,-2125.000000,18.625000,-2143.625000,2.000000,186125.000000,1
TY,reference_full,0,2240,0.040000,101469,103371,07/28/1988 09:50,09/02/1988 12:20,-1,92.000000,93.468750,1902,-1468.750000,18.625000,-1487.375000,2.000000,185468.750000,1
TY,reference_full,0,2240,0.040000,103371,107198,09/02/1988 12:20,11/16/1988 13:55,1,93.468750,93.593750,3827,125.000000,18.625000,106.375000,2.000000,187062.500000,1
