Period,Market,ISStart,ISEnd,OOSStart,OOSEnd,L,S,ISGrossObjective,ISNetObjective,ISGrossProfit,ISNetProfit,ISGrossMaxDD,ISNetMaxDD,OOSGrossObjective,OOSNetObjective,OOSGrossProfit,OOSNetProfit,OOSGrossMaxDD,OOSNetMaxDD,OOSClosedTrades,GridCombosTested
1,TY,01/03/1983 08:05,06/05/1987 14:00,06/08/1987 08:05,09/15/1987 14:00,960,0.020000,5.414562,5.084290,27330.000000,26231.125000,5047.500000,5159.250000,0.680600,0.652869,2126.875000,2052.375000,3125.000000,3143.625000,4,35
2,TY,04/13/1983 08:05,09/15/1987 14:00,09/16/1987 08:05,12/23/1987 14:00,960,0.020000,5.507058,5.171173,27796.875000,26679.375000,5047.500000,5159.250000,2.147923,2.095443,6625.000000,6541.187500,3084.375000,3121.625000,4,35
3,TY,07/22/1983 08:05,12/23/1987 14:00,12/24/1987 08:05,04/05/1988 14:00,960,0.020000,6.198613,5.842334,31287.500000,30142.062500,5047.500000,5159.250000,0.345621,0.325445,1324.375000,1259.187500,3831.875000,3869.125000,3,35
4,TY,10/31/1983 08:05,04/05/1988 14:00,04/06/1988 08:05,07/14/1988 14:00,960,0.020000,6.677068,6.314035,33702.500000,32575.687500,5047.500000,5159.250000,0.875923,0.846462,1853.125000,1806.562500,2115.625000,2134.250000,2,35
5,TY,02/09/1984 08:05,07/14/1988 14:00,07/15/1988 08:05,10/21/1988 14:00,960,0.020000,7.062779,6.698612,35649.375000,34559.812500,5047.500000,5159.250000,-0.474227,-0.501854,-1437.500000,-1539.937500,3031.250000,3068.500000,5,35
6,TY,05/21/1984 08:05,10/21/1988 14:00,10/24/1988 08:05,01/24/1989 14:00,960,0.020000,5.992075,5.643880,30245.000000,29118.187500,5047.500000,5159.250000,-0.365217,-0.384553,-1312.500000,-1396.312500,3593.750000,3631.000000,4,35
7,TY,08/29/1984 08:05,01/24/1989 14:00,01/25/1989 07:25,04/25/1989 14:00,960,0.040000,5.714660,5.381581,32695.000000,31791.687500,5721.250000,5907.500000,0.436620,0.412174,968.750000,922.187500,2218.750000,2237.375000,2,35
8,TY,12/07/1984 08:05,04/25/1989 14:00,04/26/1989 07:25,07/25/1989 14:00,960,0.040000,6.015075,5.678830,34413.750000,33547.687500,5721.250000,5907.500000,-0.053846,-0.073800,-218.750000,-302.562500,4062.500000,4099.750000,4,35
9,TY,03/20/1985 08:05,07/25/1989 14:00,07/26/1989 07:25,10/23/1989 14:00,960,0.040000,5.960454,5.622778,34101.250000,33216.562500,5721.250000,5907.500000,-0.094891,-0.113971,-406.250000,-490.062500,4281.250000,4299.875000,4,35
10,TY,06/28/1985 08:05,10/23/1989 14:00,10/24/1989 07:25,01/23/1990 14:00,960,0.040000,5.043041,4.727983,28852.500000,27930.562500,5721.250000,5907.500000,-0.460938,-0.472001,-1843.750000,-1927.562500,4000.000000,4083.812500,4,35
