entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
331,332,2017-12-19 05:10:00,2017-12-19 05:15:00,-1,18560.0,18483.0,1,360.0,25.0,True
340,342,2017-12-19 05:55:00,2017-12-19 06:05:00,-1,18290.0,18407.25,2,-611.25,25.0,True
374,378,2017-12-19 08:45:00,2017-12-19 09:05:00,-1,18225.0,18331.5,4,-557.5,25.0,True
441,446,2017-12-19 14:20:00,2017-12-19 14:45:00,-1,18150.0,18255.75,5,-553.75,25.0,True
451,455,2017-12-19 15:10:00,2017-12-19 15:30:00,-1,18075.0,17351.8,4,3591.0000000000036,25.0,True
480,483,2017-12-19 18:35:00,2017-12-19 18:50:00,-1,17180.0,16599.35,3,2878.2500000000073,25.0,True
738,746,2017-12-20 17:05:00,2017-12-20 17:45:00,-1,16435.0,16255.95,8,870.2499999999964,25.0,True
756,757,2017-12-20 18:35:00,2017-12-20 18:40:00,-1,16095.0,16210.5,1,-602.5,25.0,True
930,937,2017-12-21 09:05:00,2017-12-21 09:40:00,-1,16050.0,15796.4,7,1243.0000000000018,25.0,True
939,940,2017-12-21 09:50:00,2017-12-21 09:55:00,-1,15610.0,15569.15,1,179.25000000000182,25.0,True
961,964,2017-12-21 11:40:00,2017-12-21 11:55:00,-1,15415.0,15286.35,3,618.2499999999982,25.0,True
981,982,2017-12-21 13:20:00,2017-12-21 13:25:00,-1,15135.0,15230.8,1,-503.99999999999636,25.0,True
1039,1040,2017-12-21 19:10:00,2017-12-21 19:15:00,-1,15080.0,14897.5,1,887.5,25.0,True
1041,1042,2017-12-21 19:20:00,2017-12-21 19:25:00,-1,14740.0,14857.1,1,-610.5000000000018,25.0,True
1043,1045,2017-12-21 19:30:00,2017-12-21 19:40:00,-1,14710.0,14806.6,2,-508.0000000000018,25.0,True
1047,1049,2017-12-21 19:50:00,2017-12-21 20:00:00,-1,14660.0,14629.85,2,125.74999999999818,25.0,True
1051,1053,2017-12-21 20:10:00,2017-12-21 20:20:00,-1,14485.0,14589.45,2,-547.2500000000036,25.0,True
1060,1062,2017-12-21 20:55:00,2017-12-21 21:05:00,-1,14445.0,14054.15,2,1929.2500000000018,25.0,True
1063,1064,2017-12-21 21:10:00,2017-12-21 21:15:00,-1,13915.0,13958.2,1,-241.00000000000364,25.0,True
1065,1066,2017-12-21 21:20:00,2017-12-21 21:25:00,-1,13820.0,13528.95,1,1430.2499999999964,25.0,True
1112,1114,2017-12-22 01:15:00,2017-12-22 01:25:00,-1,13340.0,13231.0,2,520.0,25.0,True
1187,1188,2017-12-22 07:30:00,2017-12-22 07:35:00,-1,12855.0,12897.7,1,-238.50000000000364,25.0,True
1192,1193,2017-12-22 07:55:00,2017-12-22 08:00:00,-1,12770.0,12821.95,1,-284.75000000000364,25.0,True
1194,1208,2017-12-22 08:05:00,2017-12-22 09:15:00,-1,12455.0,12387.65,14,311.7500000000018,25.0,True
1363,1403,2017-12-25 23:10:00,2017-12-26 02:30:00,1,15010.0,15231.15,40,1080.7499999999982,25.0,True
1455,1466,2017-12-26 06:50:00,2017-12-26 07:45:00,1,15385.0,15295.5,11,-472.5,25.0,True
1473,1482,2017-12-26 08:20:00,2017-12-26 09:05:00,1,15450.0,15612.3,9,786.4999999999964,25.0,True
1487,1501,2017-12-26 09:30:00,2017-12-26 10:40:00,1,15770.0,15939.0,14,820.0,25.0,True
1505,1510,2017-12-26 11:00:00,2017-12-26 11:25:00,1,16100.0,15939.0,5,-830.0,25.0,True
1629,1640,2017-12-26 22:20:00,2017-12-26 23:15:00,1,16100.0,16335.0,11,1150.0,25.0,True
1651,1657,2017-12-27 00:10:00,2017-12-27 00:40:00,1,16500.0,16379.55,6,-627.2500000000036,25.0,True
