Period,Family,entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos,L,S
1,tf,403003,403015,2023-08-22 12:40:00,2023-08-22 13:40:00,-1,25750.0,25946.9,12,-1009.5000000000073,25.0,True,552,0.01
1,tf,403044,403058,2023-08-22 17:05:00,2023-08-22 18:15:00,-1,25690.0,25840.85,14,-779.2499999999927,25.0,True,552,0.01
1,tf,403252,403308,2023-08-23 10:25:00,2023-08-23 15:05:00,1,26170.0,26541.9,56,1834.5000000000073,25.0,True,552,0.01
1,tf,404344,404345,2023-08-29 09:25:00,2023-08-29 09:30:00,1,26390.0,27027.0,1,3160.0,25.0,True,552,0.01
1,tf,404346,404349,2023-08-29 09:35:00,2023-08-29 09:50:00,1,27545.0,27616.05,3,330.24999999999636,25.0,True,552,0.01
1,tf,404366,404370,2023-08-29 11:15:00,2023-08-29 11:35:00,1,27930.0,28051.65,4,583.2500000000073,25.0,True,552,0.01
1,tf,404912,404955,2023-08-31 10:45:00,2023-08-31 14:20:00,-1,27130.0,26270.1,43,4274.500000000007,25.0,True,552,0.01
1,tf,404993,405147,2023-08-31 18:30:00,2023-09-01 07:20:00,-1,26010.0,26204.45,154,-997.2500000000036,25.0,True,552,0.01
1,tf,405165,405182,2023-09-01 08:50:00,2023-09-01 10:15:00,-1,25945.0,25825.7,17,571.4999999999964,25.0,True,552,0.01
1,tf,405209,405224,2023-09-01 12:30:00,2023-09-01 13:45:00,-1,25570.0,25654.0,15,-445.0,25.0,True,552,0.01
1,tf,406005,406034,2023-09-06 09:50:00,2023-09-06 12:15:00,-1,25580.0,25588.35,29,-66.74999999999272,25.0,True,552,0.01
1,tf,406043,406046,2023-09-06 13:00:00,2023-09-06 13:15:00,1,25995.0,25878.6,3,-607.0000000000073,25.0,True,552,0.01
1,tf,406356,406374,2023-09-07 17:05:00,2023-09-07 18:35:00,1,26140.0,26279.55,18,672.7499999999964,25.0,True,552,0.01
1,tf,406391,406488,2023-09-07 20:00:00,2023-09-08 04:05:00,1,26545.0,26294.4,97,-1277.9999999999927,25.0,True,552,0.01
1,tf,406780,406827,2023-09-11 05:25:00,2023-09-11 09:20:00,-1,25630.0,25457.05,47,839.7500000000036,25.0,True,552,0.01
1,tf,406832,406849,2023-09-11 09:45:00,2023-09-11 11:10:00,-1,25205.0,25204.55,17,-22.749999999996362,25.0,True,552,0.01
1,tf,406896,406913,2023-09-11 15:05:00,2023-09-11 17:30:00,-1,24955.0,25174.25,17,-1121.25,25.0,True,552,0.01
1,tf,407056,407068,2023-09-12 05:25:00,2023-09-12 06:25:00,1,26120.0,26136.0,12,55.0,25.0,True,552,0.01
1,tf,407098,407105,2023-09-12 08:55:00,2023-09-12 09:30:00,1,26400.0,26244.9,7,-800.4999999999927,25.0,True,552,0.01
1,tf,407130,407131,2023-09-12 11:35:00,2023-09-12 11:40:00,1,26510.0,26418.15,1,-484.2499999999927,25.0,True,552,0.01
1,tf,407644,407683,2023-09-14 08:25:00,2023-09-14 11:40:00,1,26685.0,26660.7,39,-146.49999999999636,25.0,True,552,0.01
1,tf,407707,407712,2023-09-14 13:40:00,2023-09-14 14:05:00,1,26930.0,26685.45,5,-1247.7499999999964,25.0,True,552,0.01
1,tf,408151,408205,2023-09-18 04:40:00,2023-09-18 09:10:00,1,26955.0,27274.5,54,1572.5,25.0,True,552,0.01
1,tf,408428,408433,2023-09-19 04:45:00,2023-09-19 05:10:00,1,27550.0,27328.95,5,-1130.2499999999964,25.0,True,552,0.01
1,tf,408499,408516,2023-09-19 10:40:00,2023-09-19 12:05:00,1,27605.0,27343.8,17,-1331.0000000000036,25.0,True,552,0.01
1,tf,408978,409045,2023-09-21 04:35:00,2023-09-21 10:10:00,-1,26845.0,26643.8,67,981.0000000000036,25.0,True,552,0.01
1,tf,409409,409427,2023-09-24 18:30:00,2023-09-24 20:00:00,-1,26380.0,26254.95,18,600.2499999999964,25.0,True,552,0.01
1,tf,409564,409600,2023-09-25 07:25:00,2023-09-25 10:25:00,-1,25995.0,26244.85,36,-1274.2499999999927,25.0,True,552,0.01
1,tf,410090,410134,2023-09-27 05:15:00,2023-09-27 08:55:00,1,26475.0,26621.1,44,705.4999999999927,25.0,True,552,0.01
1,tf,410185,410220,2023-09-27 13:10:00,2023-09-27 17:05:00,-1,26090.0,26340.8,35,-1278.9999999999964,25.0,True,552,0.01
1,tf,410419,410467,2023-09-28 09:40:00,2023-09-28 13:40:00,1,26890.0,27314.1,48,2095.4999999999927,25.0,True,552,0.01
1,tf,410775,410776,2023-10-01 17:20:00,2023-10-01 17:25:00,1,27590.0,28328.85,1,3669.2499999999927,25.0,True,552,0.01
1,tf,410886,410936,2023-10-02 02:35:00,2023-10-02 06:45:00,1,28615.0,28561.5,50,-292.5,25.0,True,552,0.01
1,tf,410963,410965,2023-10-02 09:00:00,2023-10-02 09:10:00,1,28850.0,28660.5,2,-972.5,25.0,True,552,0.01
1,tf,411354,411373,2023-10-03 19:35:00,2023-10-03 21:10:00,-1,27290.0,27542.7,19,-1288.5000000000036,25.0,True,552,0.01
1,tf,411633,411671,2023-10-04 19:50:00,2023-10-04 23:00:00,1,28015.0,27784.35,38,-1178.2500000000073,25.0,True,552,0.01
1,tf,411783,411804,2023-10-05 08:20:00,2023-10-05 10:05:00,1,28065.0,28056.6,21,-67.00000000000728,25.0,True,552,0.01
1,tf,412055,412062,2023-10-06 08:00:00,2023-10-06 08:35:00,-1,27425.0,27562.9,7,-714.5000000000073,25.0,True,552,0.01
1,tf,412758,412845,2023-10-10 21:35:00,2023-10-11 04:50:00,-1,27370.0,27295.25,87,348.75,25.0,True,552,0.01
1,tf,412911,412984,2023-10-11 10:20:00,2023-10-11 17:25:00,-1,27025.0,26840.75,73,896.25,25.0,True,552,0.01
1,tf,413214,413282,2023-10-12 12:35:00,2023-10-12 19:15:00,-1,26575.0,26840.75,68,-1353.75,25.0,True,552,0.01
1,tf,413530,413546,2023-10-13 15:55:00,2023-10-15 18:15:00,1,27055.0,27155.7,16,478.50000000000364,25.0,True,552,0.01
1,tf,413616,413665,2023-10-16 00:05:00,2023-10-16 04:10:00,1,27430.0,27952.65,49,2588.2500000000073,25.0,True,552,0.01
1,tf,413717,413718,2023-10-16 08:30:00,2023-10-16 08:35:00,1,28235.0,29284.2,1,5221.000000000004,25.0,True,552,0.01
