entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
1441,1804,1983-01-31 08:10:00,1983-02-07 08:25:00,-1,82.9375,82.7253125,363,193.56249999999886,18.625,True
2453,3024,1983-02-18 08:30:00,1983-03-03 08:05:00,1,84.53125,85.7896875,571,1239.8124999999995,18.625,True
4013,4100,1983-03-22 12:30:00,1983-03-23 13:45:00,-1,83.75,84.524375,87,-793.0000000000063,18.625,True
4612,5400,1983-04-05 08:25:00,1983-04-20 08:05:00,1,84.90625,85.573125,788,648.2500000000045,18.625,True
5791,6370,1983-04-27 10:40:00,1983-05-09 10:55:00,1,86.4375,86.4084375,579,-47.687499999994884,18.625,True
6981,7561,1983-05-19 13:50:00,1983-06-02 08:10:00,-1,85.25,84.39812500000001,580,833.2499999999926,18.625,True
7704,8064,1983-06-06 08:05:00,1983-06-13 08:05:00,-1,83.5625,83.1040625,360,439.8125000000023,18.625,True
8726,8876,1983-06-24 09:15:00,1983-06-28 09:45:00,-1,82.28125,82.2203125,150,42.312499999994316,18.625,True
9145,9657,1983-07-05 08:10:00,1983-07-14 08:50:00,-1,81.40625,80.7684375,512,619.1874999999955,18.625,True
9722,9860,1983-07-15 08:15:00,1983-07-18 13:45:00,-1,79.96875,80.5475,138,-597.3749999999994,18.625,True
10397,11088,1983-07-28 10:30:00,1983-08-11 08:05:00,-1,79.75,78.211875,691,1519.4999999999936,18.625,True
11592,11876,1983-08-22 08:05:00,1983-08-25 13:45:00,1,80.6875,80.40656249999999,284,-299.5625000000074,18.625,True
13320,13539,1983-09-26 08:05:00,1983-09-29 08:20:00,1,81.03125,80.56125,219,-488.62499999999886,18.625,True
13825,14040,1983-10-05 08:10:00,1983-10-10 08:05:00,1,81.375,81.0871875,215,-306.43750000000114,18.625,True
14842,15745,1983-10-25 08:55:00,1983-11-10 12:10:00,-1,79.90625,79.853125,903,34.499999999994316,18.625,True
16272,16776,1983-11-22 08:05:00,1983-12-02 08:05:00,1,80.53125,80.06625,504,-483.6250000000034,18.625,True
16848,17855,1983-12-05 08:05:00,1983-12-22 14:00:00,-1,79.0625,79.221875,1007,-177.99999999999716,18.625,True
18415,20232,1984-01-05 12:40:00,1984-02-10 08:05:00,1,79.46875,79.7878125,1817,300.43750000000114,18.625,True
20235,21780,1984-02-10 08:20:00,1984-03-13 11:05:00,-1,79.78125,77.29656250000001,1545,2466.0624999999927,18.625,True
21852,21960,1984-03-14 11:05:00,1984-03-16 08:05:00,-1,76.53125,77.2334375,108,-720.8124999999937,18.625,True
22032,22610,1984-03-19 08:05:00,1984-03-29 08:15:00,-1,76.46875,76.50750000000001,578,-57.37500000000739,18.625,True
22861,23043,1984-04-03 11:10:00,1984-04-06 08:20:00,-1,75.75,76.2865625,182,-555.1875000000023,18.625,True
23642,23980,1984-04-18 10:15:00,1984-04-26 08:25:00,-1,75.53125,75.75,338,-237.375,18.625,True
24120,24955,1984-04-30 08:05:00,1984-05-15 11:40:00,-1,75.0,72.6884375,835,2292.9374999999936,18.625,True
25440,25704,1984-05-24 10:05:00,1984-05-31 08:05:00,-1,71.96875,70.4790625,264,1471.0625000000023,18.625,True
26496,26585,1984-06-15 08:05:00,1984-06-18 09:30:00,1,73.46875,73.1053125,89,-382.0625000000034,18.625,True
27288,27432,1984-07-02 08:05:00,1984-07-05 08:05:00,-1,71.0625,71.6784375,144,-634.5625000000011,18.625,True
27874,28008,1984-07-13 08:55:00,1984-07-17 08:05:00,1,73.84375,73.321875,134,-540.4999999999943,18.625,True
28224,28283,1984-07-20 08:05:00,1984-07-20 13:00:00,1,74.0625,73.3528125,59,-728.3125000000011,18.625,True
28368,28665,1984-07-24 08:05:00,1984-07-30 08:50:00,1,74.09375,74.806875,297,694.5000000000051,18.625,True
28803,29028,1984-08-01 08:20:00,1984-08-06 09:05:00,1,75.5625,76.0134375,225,432.3124999999949,18.625,True
29304,29376,1984-08-10 08:05:00,1984-08-13 08:05:00,1,76.78125,76.0134375,72,-786.4375000000051,18.625,True
30308,30649,1984-08-29 13:45:00,1984-09-06 12:10:00,-1,75.375,75.0871875,341,269.18750000000114,18.625,True
30821,31104,1984-09-11 08:30:00,1984-09-17 08:05:00,1,76.59375,77.1271875,283,514.8125000000051,18.625,True
31290,31392,1984-09-19 11:35:00,1984-09-21 08:05:00,1,77.90625,77.2509375,102,-673.9374999999937,18.625,True
32760,33184,1984-10-18 08:05:00,1984-10-25 13:25:00,1,78.03125,79.261875,424,1212.0000000000034,18.625,True
33408,33812,1984-10-31 08:05:00,1984-11-07 11:45:00,1,80.0625,80.06625,404,-14.87500000000341,18.625,True
34531,34826,1984-11-21 11:40:00,1984-11-28 12:15:00,1,80.875,81.613125,295,719.4999999999966,18.625,True
37441,37789,1985-01-22 08:10:00,1985-01-28 13:10:00,1,81.1875,82.17,348,963.8750000000017,18.625,True
38945,39168,1985-02-20 13:30:00,1985-02-26 08:05:00,-1,80.59375,79.79,223,785.1249999999937,18.625,True
39296,39461,1985-02-27 12:45:00,1985-03-04 08:30:00,-1,79.0,78.338125,165,643.2499999999949,18.625,True
39672,39744,1985-03-07 08:05:00,1985-03-08 08:05:00,-1,77.5625,78.1171875,72,-573.3125,18.625,True
40249,40320,1985-03-19 08:10:00,1985-03-20 08:05:00,-1,77.34375,78.1171875,71,-792.0625,18.625,True
40792,41117,1985-03-28 11:25:00,1985-04-04 08:30:00,1,79.0,78.82875,325,-189.87500000000057,18.625,True
41328,42028,1985-04-10 08:05:00,1985-04-23 12:25:00,1,79.625,81.4275,700,1783.874999999995,18.625,True
42578,42783,1985-05-03 10:15:00,1985-05-08 09:20:00,1,82.25,81.7059375,205,-562.6874999999955,18.625,True
42912,43560,1985-05-10 08:05:00,1985-05-23 08:05:00,1,82.53125,84.7378125,648,2187.937500000004,18.625,True
43704,44148,1985-05-28 08:05:00,1985-06-05 09:05:00,1,85.59375,87.7696875,444,2157.3125000000036,18.625,True
45072,45325,1985-06-24 08:05:00,1985-06-27 11:10:00,-1,84.96875,85.2503125,253,-300.1875000000068,18.625,True
46664,46985,1985-07-25 08:45:00,1985-07-31 11:30:00,-1,84.4375,84.4928125,321,-73.93749999999943,18.625,True
47863,48240,1985-08-16 12:40:00,1985-08-26 08:05:00,1,86.25,86.8725,377,603.8750000000023,18.625,True
48816,49183,1985-09-06 08:05:00,1985-09-13 08:40:00,-1,84.9375,84.9978125,367,-78.93749999999488,18.625,True
50906,51408,1985-10-17 08:15:00,1985-10-28 08:05:00,1,86.28125,86.3465625,502,46.68750000000455,18.625,True
51534,51696,1985-10-29 12:35:00,1985-11-01 08:05:00,1,87.21875,87.4603125,162,222.93750000000057,18.625,True
51849,52416,1985-11-05 08:50:00,1985-11-15 08:05:00,1,88.34375,88.6359375,567,273.56249999999716,18.625,True
52534,52847,1985-11-18 11:55:00,1985-11-22 14:00:00,1,89.53125,89.5640625,313,14.187500000005684,18.625,True
53568,54075,1985-12-10 08:05:00,1985-12-19 08:20:00,1,90.46875,91.7915625,507,1304.1874999999977,18.625,True
54178,54720,1985-12-20 10:55:00,1986-01-03 08:05:00,1,92.71875,92.4103125,542,-327.0624999999966,18.625,True
54924,54986,1986-01-07 13:05:00,1986-01-08 12:15:00,1,93.34375,92.68875,62,-673.6250000000011,18.625,True
55152,55296,1986-01-13 08:05:00,1986-01-15 08:05:00,-1,91.0,90.9,144,81.37499999999432,18.625,True
56304,56474,1986-02-04 08:05:00,1986-02-06 10:15:00,1,93.625,93.1528125,170,-490.812500000004,18.625,True
56808,57539,1986-02-13 08:05:00,1986-02-28 09:00:00,1,94.09375,99.0928125,731,4980.437499999994,18.625,True
57672,57744,1986-03-04 08:05:00,1986-03-05 08:05:00,1,100.09375,99.4021875,72,-710.1875000000034,18.625,True
57985,58176,1986-03-10 10:10:00,1986-03-13 08:05:00,1,100.40625,100.1446875,191,-280.1874999999966,18.625,True
58843,59072,1986-03-26 09:40:00,1986-04-01 10:45:00,1,101.15625,103.145625,229,1970.7499999999955,18.625,True
59832,59911,1986-04-16 08:05:00,1986-04-17 08:40:00,1,104.1875,104.1975,79,-8.624999999994884,18.625,True
60278,60479,1986-04-24 09:15:00,1986-04-28 14:00:00,-1,100.9375,101.568125,201,-649.2499999999949,18.625,True
61061,61085,1986-05-09 08:30:00,1986-05-09 10:30:00,-1,100.5625,100.936875,24,-393.00000000000057,18.625,True
61146,61228,1986-05-12 09:35:00,1986-05-13 10:25:00,-1,99.9375,100.2425,82,-323.6250000000068,18.625,True
61403,61585,1986-05-15 13:00:00,1986-05-20 10:10:00,-1,99.25,98.34875,182,882.6250000000045,18.625,True
62060,62103,1986-05-29 13:45:00,1986-05-30 11:20:00,-1,97.375,97.654375,43,-298.0000000000017,18.625,True
62135,62262,1986-05-30 14:00:00,1986-06-03 12:35:00,-1,96.6875,96.013125,127,655.7499999999977,18.625,True
62305,62307,1986-06-04 10:10:00,1986-06-04 10:20:00,-1,95.0625,95.5396875,2,-495.81249999999943,18.625,True
62929,63073,1986-06-17 08:10:00,1986-06-19 08:10:00,1,100.375,99.433125,144,-960.499999999996,18.625,True
63285,63432,1986-06-23 13:50:00,1986-06-26 08:05:00,1,100.4375,100.485,147,28.87499999999943,18.625,True
63648,63936,1986-07-01 08:05:00,1986-07-08 08:05:00,1,101.5,101.041875,288,-476.74999999999545,18.625,True
64296,64454,1986-07-15 08:05:00,1986-07-17 09:15:00,1,102.0625,101.84625,158,-234.87500000000227,18.625,True
65006,65060,1986-07-28 13:15:00,1986-07-29 11:45:00,-1,100.53125,101.0,54,-487.375,18.625,True
65666,66312,1986-08-11 08:15:00,1986-08-22 08:05:00,1,102.875,103.9809375,646,1087.312499999996,18.625,True
66672,66744,1986-08-29 08:05:00,1986-09-02 08:05:00,1,105.03125,104.1046875,72,-945.1875000000028,18.625,True
67032,67320,1986-09-08 08:05:00,1986-09-12 08:05:00,-1,101.4375,101.0,288,418.875,18.625,True
67335,67354,1986-09-12 09:20:00,1986-09-12 10:55:00,-1,100.0,100.2425,19,-261.1250000000068,18.625,True
68400,68832,1986-10-03 08:05:00,1986-10-13 08:05:00,1,102.09375,101.908125,432,-204.2500000000017,18.625,True
69768,70200,1986-10-30 08:05:00,1986-11-07 08:05:00,1,102.9375,102.6196875,432,-336.4375000000023,18.625,True
70784,71352,1986-11-19 08:45:00,1986-12-02 08:05:00,1,103.65625,103.455,568,-219.8750000000017,18.625,True
71556,71637,1986-12-04 13:05:00,1986-12-05 13:50:00,1,104.5,103.4859375,81,-1032.6874999999943,18.625,True
73007,74029,1987-01-05 14:00:00,1987-01-26 09:10:00,1,104.5,104.07375,1022,-444.874999999996,18.625,True
74376,75027,1987-02-02 08:05:00,1987-02-13 08:20:00,-1,103.96875,103.9353125,651,14.812500000005116,18.625,True
75456,75880,1987-02-24 08:05:00,1987-03-03 13:25:00,1,104.625,103.8571875,424,-786.4375000000051,18.625,True
77163,77980,1987-03-27 12:20:00,1987-04-14 08:25:00,-1,103.5,96.96000000000001,817,6521.374999999992,18.625,True
78505,78596,1987-04-24 10:10:00,1987-04-27 11:45:00,-1,96.0,96.013125,91,-31.750000000002274,18.625,True
79560,79700,1987-05-15 08:05:00,1987-05-18 13:45:00,-1,95.0625,94.624375,140,419.49999999999943,18.625,True
79775,79930,1987-05-19 14:00:00,1987-05-22 08:55:00,-1,93.6875,94.30875,155,-639.8750000000034,18.625,True
80972,81504,1987-06-12 11:45:00,1987-06-24 08:05:00,1,96.625,96.7725,532,128.87499999999375,18.625,True
82870,83640,1987-07-21 13:55:00,1987-08-05 12:05:00,-1,95.9375,94.8453125,770,1073.5624999999943,18.625,True
84761,85177,1987-08-27 09:30:00,1987-09-04 08:10:00,-1,93.90625,91.3103125,416,2577.312500000005,18.625,True
85188,85365,1987-09-04 09:05:00,1987-09-09 11:50:00,-1,90.40625,89.8584375,177,529.1875000000063,18.625,True
86400,86593,1987-09-30 08:05:00,1987-10-02 12:10:00,-1,88.96875,88.9746875,193,-24.562500000001705,18.625,True
86873,87051,1987-10-08 11:30:00,1987-10-13 08:20:00,-1,88.09375,87.6175,178,457.6249999999932,18.625,True
87135,87216,1987-10-14 09:20:00,1987-10-15 10:05:00,-1,86.75,85.72375,81,1007.6250000000045,18.625,True
87480,87489,1987-10-21 08:05:00,1987-10-21 08:50:00,1,90.875,90.523125,9,-370.5000000000068,18.625,True
87502,87503,1987-10-21 09:55:00,1987-10-21 10:00:00,1,91.4375,90.5540625,1,-902.0624999999994,18.625,True
87512,87563,1987-10-21 10:45:00,1987-10-22 09:00:00,1,91.46875,93.06,51,1572.6250000000023,18.625,True
87624,87633,1987-10-23 08:05:00,1987-10-23 08:50:00,1,94.0,93.8953125,9,-123.31249999999716,18.625,True
88302,88345,1987-11-05 10:35:00,1987-11-06 08:10:00,1,94.84375,94.0809375,43,-781.4374999999955,18.625,True
89834,90234,1987-12-07 12:15:00,1987-12-15 09:35:00,-1,92.0625,91.49968750000001,400,544.1874999999926,18.625,True
90716,90792,1987-12-23 13:45:00,1987-12-28 08:05:00,1,93.90625,93.1528125,76,-772.062500000004,18.625,True
90986,91296,1987-12-30 12:15:00,1988-01-07 08:05:00,1,94.09375,93.7715625,310,-340.8124999999983,18.625,True
91728,92756,1988-01-15 08:05:00,1988-02-04 09:45:00,1,94.71875,97.63875,1028,2901.375000000002,18.625,True
92808,93175,1988-02-05 08:05:00,1988-02-12 08:40:00,1,98.625,97.9171875,367,-726.4375000000028,18.625,True
94200,95841,1988-03-04 10:05:00,1988-04-07 08:50:00,-1,96.9375,95.381875,1641,1537.0000000000064,18.625,True
