Period,Family,IS_start,IS_end,OOS_start,OOS_end,L,S,IS_Objective,IS_Profit,IS_MaxDD,OOS_Objective,OOS_Profit,OOS_MaxDD,OOS_Trades,RoundTurnCost
1,tf,1983-01-03 08:05:00,1987-06-05 14:00:00,1987-06-08 08:05:00,1987-09-15 14:00:00,960,0.02,5.08429,26231.125,5159.25,0.6528689013479662,2052.375,3143.625,4,18.625
2,tf,1983-04-13 08:05:00,1987-09-15 14:00:00,1987-09-16 08:05:00,1987-12-23 14:00:00,960,0.02,5.171173,26679.375,5159.25,2.0954430785247924,6541.187499999985,3121.6250000000146,4,18.625
3,tf,1983-07-22 08:05:00,1987-12-23 14:00:00,1987-12-24 08:05:00,1988-04-05 14:00:00,960,0.02,5.842334,30142.0625,5159.25,0.32544502956094723,1259.1875,3869.125,3,18.625
4,tf,1983-10-31 08:05:00,1988-04-05 14:00:00,1988-04-06 08:05:00,1988-07-14 14:00:00,960,0.02,6.314035,32575.6875,5159.25,0.8464624575377642,1806.5624999999854,2134.2500000000146,2,18.625
5,tf,1984-02-09 08:05:00,1988-07-14 14:00:00,1988-07-15 08:05:00,1988-10-21 14:00:00,960,0.02,6.698612,34559.8125,5159.25,-0.5018535114876975,-1539.9375,3068.5,5,18.625
6,tf,1984-05-21 08:05:00,1988-10-21 14:00:00,1988-10-24 08:05:00,1989-01-24 14:00:00,960,0.02,5.64388,29118.1875,5159.25,-0.3845531534012669,-1396.3125,3631.0,4,18.625
7,tf,1984-08-29 08:05:00,1989-01-24 14:00:00,1989-01-25 07:25:00,1989-04-25 14:00:00,960,0.04,5.381581,31791.6875,5907.5,0.4121738644617018,922.1875,2237.375,2,18.625
8,tf,1984-12-07 08:05:00,1989-04-25 14:00:00,1989-04-26 07:25:00,1989-07-25 14:00:00,960,0.04,5.67883,33547.6875,5907.5,-0.07380023172144642,-302.5625,4099.75,4,18.625
9,tf,1985-03-20 08:05:00,1989-07-25 14:00:00,1989-07-26 07:25:00,1989-10-23 14:00:00,960,0.04,5.622778,33216.5625,5907.5,-0.11397133637605744,-490.0625,4299.875,4,18.625
10,tf,1985-06-28 08:05:00,1989-10-23 14:00:00,1989-10-24 07:25:00,1990-01-23 14:00:00,960,0.04,4.727983,27930.5625,5907.5,-0.4720007346076736,-1927.5625,4083.8125,4,18.625
11,tf,1985-10-08 08:05:00,1990-01-23 14:00:00,1990-01-24 07:25:00,1990-04-24 14:00:00,1920,0.04,4.467584,36599.5625,8192.25,2.011142857142857,3959.4375,1968.75,0,18.625
12,tf,1986-01-17 08:05:00,1990-04-24 14:00:00,1990-04-25 07:25:00,1990-07-24 14:00:00,1920,0.04,4.128086,33818.3125,8192.25,-0.9055252618956038,-5002.6875,5524.625,3,18.625
13,tf,1986-04-29 08:05:00,1990-07-24 14:00:00,1990-07-25 07:25:00,1990-10-22 14:00:00,1920,0.04,2.627155,21522.3125,8192.25,-0.026603701012863797,-77.8125,2924.875,2,18.625
14,tf,1986-08-07 08:05:00,1990-10-22 14:00:00,1990-10-23 07:25:00,1991-01-22 14:00:00,960,0.01,2.329949,14685.375,6302.875,-0.05829847004274877,-241.2500000000291,4138.187500000029,5,18.625
15,tf,1986-11-14 08:05:00,1991-01-22 14:00:00,1991-01-23 07:25:00,1991-04-23 14:00:00,1920,0.04,2.660266,21793.5625,8192.25,-0.545271933992829,-1577.8125,2893.625,2,18.625
16,tf,1987-02-26 08:05:00,1991-04-23 14:00:00,1991-04-24 07:25:00,1991-07-23 14:00:00,1920,0.01,2.654253,12361.6875,4657.3125,-0.5234288401464512,-973.9375,1860.6875,3,18.625
17,tf,1987-06-08 08:05:00,1991-07-23 14:00:00,1991-07-24 07:25:00,1991-10-21 14:00:00,1920,0.04,1.573919,12893.9375,8192.25,2.5039607843137257,3990.6875,1593.75,0,18.625
18,tf,1987-09-16 08:05:00,1991-10-21 14:00:00,1991-10-22 07:25:00,1992-01-21 14:00:00,1920,0.04,1.408351,11537.5625,8192.25,-0.04994915254237288,-184.1875,3687.5,1,18.625
19,tf,1987-12-24 08:05:00,1992-01-21 14:00:00,1992-01-22 07:25:00,1992-04-21 14:00:00,1920,0.03,1.586538,12145.9375,7655.625,0.018539385189619353,65.8125,3549.875,1,18.625
20,tf,1988-04-06 08:05:00,1992-04-21 14:00:00,1992-04-22 07:25:00,1992-07-21 14:00:00,1920,0.03,0.989354,7574.125,7655.625,1.1329772727272727,3115.6875,2750.0,0,18.625
21,tf,1988-07-15 08:05:00,1992-07-21 14:00:00,1992-07-22 07:25:00,1992-10-19 14:00:00,1920,0.03,1.745302,13361.375,7655.625,0.34631156115318634,1034.5625,2987.375,1,18.625
22,tf,1988-10-24 08:05:00,1992-10-19 14:00:00,1992-10-20 07:25:00,1993-01-19 14:00:00,1920,0.03,1.789958,13703.25,7655.625,0.25820782874198084,940.8125,3643.625,1,18.625
23,tf,1989-01-25 07:25:00,1993-01-19 14:00:00,1993-01-20 07:25:00,1993-04-20 14:00:00,1920,0.03,1.967916,15065.625,7655.625,0.3875412467671453,1629.5625,4204.875,1,18.625
24,tf,1989-04-26 07:25:00,1993-04-20 14:00:00,1993-04-21 07:25:00,1993-07-20 14:00:00,1920,0.04,2.525229,19961.9375,7905.0,-0.24337229190421894,-640.3125,2631.0,2,18.625
25,tf,1989-07-26 07:25:00,1993-07-20 14:00:00,1993-07-21 07:25:00,1993-10-18 14:00:00,1920,0.04,1.623142,12830.9375,7905.0,-0.18307112551716867,-434.1875,2371.6875,1,18.625
26,tf,1989-10-24 07:25:00,1993-10-18 14:00:00,1993-10-19 07:25:00,1994-01-17 14:00:00,3200,0.03,1.73223,12798.6875,7388.5625,0.39649411764705883,1053.1875,2656.25,0,18.625
27,tf,1990-01-24 07:25:00,1994-01-17 14:00:00,1994-01-18 07:25:00,1994-04-18 14:00:00,3200,0.03,1.533443,11329.9375,7388.5625,1.2269976750851939,4815.8125,3924.875,1,18.625
28,tf,1990-04-25 07:25:00,1994-04-18 14:00:00,1994-04-19 07:25:00,1994-07-19 14:00:00,2240,0.04,1.60468,15493.1875,9655.0,-0.26081666666666664,-978.0625,3750.0,0,18.625
29,tf,1990-07-25 07:25:00,1994-07-19 14:00:00,1994-07-20 07:25:00,1994-10-17 14:00:00,2240,0.04,2.155446,19330.3125,8968.125,-0.11118309859154929,-246.6875,2218.75,1,18.625
30,tf,1990-10-23 07:25:00,1994-10-17 14:00:00,1994-10-18 07:25:00,1995-01-18 14:00:00,3200,0.04,2.10698,15998.5625,7593.125,-0.38883635160054847,-1027.9375,2643.625,1,18.625
31,tf,1991-01-23 07:25:00,1995-01-18 14:00:00,1995-01-19 07:25:00,1995-04-19 14:00:00,2240,0.04,4.048339,20973.9375,5180.875,2.188741935483871,4240.6875,1937.5,0,18.625
32,tf,1991-04-24 07:25:00,1995-04-19 14:00:00,1995-04-20 07:25:00,1995-07-19 14:00:00,2240,0.04,5.342694,26979.9375,5049.875,0.7452182918541053,2878.3125,3862.375,1,18.625
33,tf,1991-07-24 07:25:00,1995-07-19 14:00:00,1995-07-20 07:25:00,1995-10-18 14:00:00,2240,0.04,6.231305,31467.3125,5049.875,-0.024820748567703867,-90.4375,3643.625,1,18.625
34,tf,1991-10-22 07:25:00,1995-10-18 14:00:00,1995-10-19 07:25:00,1996-01-19 14:00:00,2240,0.04,4.372492,26261.1875,6006.0,1.5919677419354838,3084.4375,1937.5,0,18.625
35,tf,1992-01-22 07:25:00,1996-01-19 14:00:00,1996-01-22 07:25:00,1996-04-19 14:00:00,2240,0.04,4.890703,29373.5625,6006.0,1.1756743667974237,3034.5625,2581.125,1,18.625
36,tf,1992-04-22 07:25:00,1996-04-19 14:00:00,1996-04-22 07:25:00,1996-07-19 14:00:00,2240,0.04,5.249719,31529.8125,6006.0,-0.3482528735632184,-946.8125,2718.75,0,18.625
37,tf,1992-07-22 07:25:00,1996-07-19 14:00:00,1996-07-22 07:25:00,1996-10-18 14:00:00,2240,0.04,4.843875,29092.3125,6006.0,-0.5299347362813,-2984.0625,5631.0,2,18.625
38,tf,1992-10-20 07:25:00,1996-10-18 14:00:00,1996-10-21 07:25:00,1997-01-22 14:00:00,2240,0.04,3.608922,24336.3125,6743.375,0.40862459739949897,1284.5625,3143.625,1,18.625
39,tf,1993-01-20 07:25:00,1997-01-22 14:00:00,1997-01-23 07:25:00,1997-04-23 14:00:00,2240,0.04,3.687703,24867.5625,6743.375,-0.5935599778883361,-2952.8125,4974.75,2,18.625
40,tf,1993-04-21 07:25:00,1997-04-23 14:00:00,1997-04-24 07:25:00,1997-07-23 14:00:00,1600,0.04,4.230973,25912.0625,6124.375,3.6200571428571426,3959.4375,1093.75,0,18.625
41,tf,1993-07-21 07:25:00,1997-07-23 14:00:00,1997-07-24 07:25:00,1997-10-22 14:00:00,1600,0.04,5.145311,31511.8125,6124.375,-0.8223463862021473,-3283.9375,3993.375,3,18.625
42,tf,1993-10-19 07:25:00,1997-10-22 14:00:00,1997-10-23 07:25:00,1998-01-26 14:00:00,1600,0.04,4.805501,29430.6875,6124.375,-0.3184200403884989,-827.8125,2599.75,2,18.625
43,tf,1994-01-18 07:25:00,1998-01-26 14:00:00,1998-01-27 07:25:00,1998-04-27 14:00:00,1920,0.04,3.056938,19868.1875,6499.375,-0.6167131233991261,-2046.5625,3318.5,2,18.625
