Period,Family,entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos,L,S
1,tf,80972,82870,1987-06-12 11:45:00,1987-07-21 13:55:00,1,96.625,96.09375,1898,-549.875,18.625,True,960,0.02
1,tf,82870,84134,1987-07-21 13:55:00,1987-08-14 11:15:00,-1,96.09375,95.75,1264,325.125,18.625,True,960,0.02
1,tf,84134,84744,1987-08-14 11:15:00,1987-08-27 08:05:00,1,95.75,94.40625,610,-1362.375,18.625,True,960,0.02
1,tf,84744,85513,1987-08-27 08:05:00,1987-09-11 12:10:00,-1,94.40625,90.748125,769,3639.499999999998,18.625,True,960,0.02
2,tf,86334,87232,1987-09-29 08:35:00,1987-10-15 11:25:00,-1,89.375,86.5725,898,2783.874999999995,18.625,True,960,0.02
2,tf,87480,87645,1987-10-21 08:05:00,1987-10-23 09:50:00,1,89.5,92.94687499999999,165,3428.2499999999914,18.625,True,960,0.02
2,tf,88302,89281,1987-11-05 10:35:00,1987-11-25 08:10:00,1,94.84375,93.53125,979,-1331.125,18.625,True,960,0.02
2,tf,89281,90338,1987-11-25 08:10:00,1987-12-16 12:15:00,-1,93.53125,92.405625,1057,1106.9999999999995,18.625,True,960,0.02
3,tf,90720,91371,1987-12-24 08:05:00,1988-01-08 08:20:00,1,93.90625,92.824375,651,-1100.4999999999966,18.625,True,960,0.02
3,tf,91434,91728,1988-01-08 13:35:00,1988-01-15 08:05:00,-1,92.71875,94.71875,294,-2018.625,18.625,True,960,0.02
3,tf,91728,94200,1988-01-15 08:05:00,1988-03-04 10:05:00,1,94.71875,96.9375,2472,2200.125,18.625,True,960,0.02
4,tf,96264,98855,1988-04-15 08:05:00,1988-06-06 14:00:00,-1,94.4375,92.90625,2591,1512.625,18.625,True,960,0.02
4,tf,98855,99438,1988-06-06 14:00:00,1988-06-17 08:35:00,1,92.90625,92.94687499999999,583,21.999999999991473,18.625,True,960,0.02
5,tf,101469,101635,1988-07-28 09:50:00,1988-08-01 11:40:00,-1,92.0,92.8125,166,-831.125,18.625,True,960,0.02
5,tf,101635,102067,1988-08-01 11:40:00,1988-08-09 11:40:00,1,92.8125,92.0,432,-831.125,18.625,True,960,0.02
5,tf,102067,103103,1988-08-09 11:40:00,1988-08-29 14:00:00,-1,92.0,91.8125,1036,168.875,18.625,True,960,0.02
5,tf,103103,104536,1988-08-29 14:00:00,1988-09-27 13:25:00,1,91.8125,93.125,1433,1293.875,18.625,True,960,0.02
5,tf,104536,104905,1988-09-27 13:25:00,1988-10-05 08:10:00,-1,93.125,94.53125,369,-1424.875,18.625,True,960,0.02
6,tf,106089,106560,1988-10-27 10:50:00,1988-11-07 07:25:00,1,95.34375,94.4375,471,-924.875,18.625,True,960,0.02
6,tf,106560,108234,1988-11-07 07:25:00,1988-12-06 13:35:00,-1,94.4375,93.71875,1674,700.125,18.625,True,960,0.02
6,tf,108234,108640,1988-12-06 13:35:00,1988-12-14 07:25:00,1,93.71875,92.4375,406,-1299.875,18.625,True,960,0.02
6,tf,108640,110258,1988-12-14 07:25:00,1989-01-13 08:55:00,-1,92.4375,93.21875,1618,-799.875,18.625,True,960,0.02
7,tf,110893,111816,1989-01-25 08:30:00,1989-02-09 12:05:00,1,94.25,93.25,923,-1018.625,18.625,True,960,0.04
7,tf,111816,114560,1989-02-09 12:05:00,1989-04-03 07:25:00,-1,93.25,92.15625,2744,1075.125,18.625,True,960,0.04
8,tf,115922,116737,1989-04-26 07:35:00,1989-05-10 08:50:00,1,93.53125,92.6875,815,-862.375,18.625,True,960,0.04
8,tf,116737,116882,1989-05-10 08:50:00,1989-05-12 07:35:00,-1,92.6875,94.15625,145,-1487.375,18.625,True,960,0.04
8,tf,116882,119128,1989-05-12 07:35:00,1989-06-22 08:05:00,1,94.15625,97.15625,2246,2981.375,18.625,True,960,0.04
8,tf,119128,119607,1989-06-22 08:05:00,1989-06-30 08:00:00,-1,97.15625,98.9375,479,-1799.875,18.625,True,960,0.04
9,tf,121042,121840,1989-07-27 07:35:00,1989-08-10 07:25:00,1,100.1875,99.375,798,-831.125,18.625,True,960,0.04
9,tf,121840,123531,1989-08-10 07:25:00,1989-09-11 08:20:00,-1,99.375,98.71875,1691,637.625,18.625,True,960,0.04
9,tf,123531,124237,1989-09-11 08:20:00,1989-09-21 13:50:00,1,98.71875,98.25,706,-487.375,18.625,True,960,0.04
9,tf,124237,125042,1989-09-21 13:50:00,1989-10-06 07:35:00,-1,98.25,99.03125,805,-799.875,18.625,True,960,0.04
10,tf,126737,126986,1989-11-06 08:50:00,1989-11-09 09:35:00,-1,99.46875,100.8125,249,-1362.375,18.625,True,960,0.04
10,tf,126986,128562,1989-11-09 09:35:00,1989-12-08 07:35:00,1,100.8125,100.0625,1576,-768.625,18.625,True,960,0.04
10,tf,128562,128888,1989-12-08 07:35:00,1989-12-14 08:05:00,-1,100.0625,100.84375,326,-799.875,18.625,True,960,0.04
10,tf,128888,129499,1989-12-14 08:05:00,1989-12-26 12:20:00,1,100.84375,99.9375,611,-924.875,18.625,True,960,0.04
12,tf,136181,137682,1990-04-26 09:10:00,1990-05-23 07:35:00,-1,93.34375,95.90625,1501,-2581.125,18.625,True,1920,0.04
12,tf,137682,140410,1990-05-23 07:35:00,1990-07-12 08:15:00,1,95.90625,95.84375,2728,-81.125,18.625,True,1920,0.04
12,tf,140410,140989,1990-07-12 08:15:00,1990-07-23 09:50:00,-1,95.84375,97.21875,579,-1393.625,18.625,True,1920,0.04
13,tf,141361,141810,1990-07-30 07:30:00,1990-08-06 11:35:00,1,97.375,95.625,449,-1768.625,18.625,True,1920,0.04
13,tf,141810,144891,1990-08-06 11:35:00,1990-10-01 08:20:00,-1,95.625,94.875,3081,731.375,18.625,True,1920,0.04
14,tf,146724,149153,1990-11-01 07:45:00,1990-12-14 10:10:00,1,96.1875,99.12375,2429,2917.625000000001,18.625,True,960,0.01
14,tf,149611,149762,1990-12-24 08:20:00,1990-12-27 07:35:00,-1,98.28125,98.664375,151,-401.7500000000068,18.625,True,960,0.01
14,tf,150082,150240,1991-01-03 07:35:00,1991-01-07 07:25:00,1,99.84375,98.96906249999999,158,-893.3125000000074,18.625,True,960,0.01
14,tf,150478,150562,1991-01-09 13:55:00,1991-01-11 07:35:00,-1,97.6875,98.5696875,84,-900.8125000000006,18.625,True,960,0.01
14,tf,150640,150880,1991-01-14 07:25:00,1991-01-17 07:25:00,-1,97.59375,98.53812500000001,240,-963.000000000008,18.625,True,960,0.01
15,tf,151762,153204,1991-02-01 07:35:00,1991-02-28 07:45:00,1,99.96875,99.125,1442,-862.375,18.625,True,1920,0.04
15,tf,153204,155140,1991-02-28 07:45:00,1991-04-04 09:05:00,-1,99.125,99.15625,1936,-49.875,18.625,True,1920,0.04
