Market,RunType,Period,L,S,EntryBar,ExitBar,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,DurationBars,GrossPnL,TransactionCost,NetPnL,TurnoverContracts,TurnoverNotional,IsOOS
BTC,full_sample,0,276,0.010000,331,332,12/19/2017 05:10,12/19/2017 05:15,-1,18560.000000,18483.000000,1,385.000000,25.000000,360.000000,2.000000,185215.000000,1
BTC,full_sample,0,276,0.010000,340,342,12/19/2017 05:55,12/19/2017 06:05,-1,18290.000000,18407.250000,2,-586.250000,25.000000,-611.250000,2.000000,183486.250000,1
BTC,full_sample,0,276,0.010000,374,378,12/19/2017 08:45,12/19/2017 09:05,-1,18225.000000,18331.500000,4,-532.500000,25.000000,-557.500000,2.000000,182782.500000,1
BTC,full_sample,0,276,0.010000,441,446,12/19/2017 14:20,12/19/2017 14:45,-1,18150.000000,18255.750000,5,-528.750000,25.000000,-553.750000,2.000000,182028.750000,1
BTC,full_sample,0,276,0.010000,451,455,12/19/2017 15:10,12/19/2017 15:30,-1,18075.000000,17351.800000,4,3616.000000,25.000000,3591.000000,2.000000,177134.000000,1
BTC,full_sample,0,276,0.010000,480,483,12/19/2017 18:35,12/19/2017 18:50,-1,17180.000000,16599.350000,3,2903.250000,25.000000,2878.250000,2.000000,168896.750000,1
BTC,full_sample,0,276,0.010000,738,746,12/20/2017 17:05,12/20/2017 17:45,-1,16435.000000,16255.950000,8,895.250000,25.000000,870.250000,2.000000,163454.750000,1
BTC,full_sample,0,276,0.010000,756,757,12/20/2017 18:35,12/20/2017 18:40,-1,16095.000000,16210.500000,1,-577.500000,25.000000,-602.500000,2.000000,161527.500000,1
BTC,full_sample,0,276,0.010000,930,937,12/21/2017 09:05,12/21/2017 09:40,-1,16050.000000,15796.400000,7,1268.000000,25.000000,1243.000000,2.000000,159232.000000,1
BTC,full_sample,0,276,0.010000,939,940,12/21/2017 09:50,12/21/2017 09:55,-1,15610.000000,15569.150000,1,204.250000,25.000000,179.250000,2.000000,155895.750000,1
BTC,full_sample,0,276,0.010000,961,964,12/21/2017 11:40,12/21/2017 11:55,-1,15415.000000,15286.350000,3,643.250000,25.000000,618.250000,2.000000,153506.750000,1
BTC,full_sample,0,276,0.010000,981,982,12/21/2017 13:20,12/21/2017 13:25,-1,15135.000000,15230.800000,1,-479.000000,25.000000,-504.000000,2.000000,151829.000000,1
BTC,full_sample,0,276,0.010000,1039,1040,12/21/2017 19:10,12/21/2017 19:15,-1,15080.000000,14897.500000,1,912.500000,25.000000,887.500000,2.000000,149887.500000,1
BTC,full_sample,0,276,0.010000,1041,1042,12/21/2017 19:20,12/21/2017 19:25,-1,14740.000000,14857.100000,1,-585.500000,25.000000,-610.500000,2.000000,147985.500000,1
BTC,full_sample,0,276,0.010000,1043,1045,12/21/2017 19:30,12/21/2017 19:40,-1,14710.000000,14806.600000,2,-483.000000,25.000000,-508.000000,2.000000,147583.000000,1
BTC,full_sample,0,276,0.010000,1047,1049,12/21/2017 19:50,12/21/2017 20:00,-1,14660.000000,14629.850000,2,150.750000,25.000000,125.750000,2.000000,146449.250000,1
BTC,full_sample,0,276,0.010000,1051,1053,12/21/2017 20:10,12/21/2017 20:20,-1,14485.000000,14589.450000,2,-522.250000,25.000000,-547.250000,2.000000,145372.250000,1
BTC,full_sample,0,276,0.010000,1060,1062,12/21/2017 20:55,12/21/2017 21:05,-1,14445.000000,14054.150000,2,1954.250000,25.000000,1929.250000,2.000000,142495.750000,1
BTC,full_sample,0,276,0.010000,1063,1064,12/21/2017 21:10,12/21/2017 21:15,-1,13915.000000,13958.200000,1,-216.000000,25.000000,-241.000000,2.000000,139366.000000,1
BTC,full_sample,0,276,0.010000,1065,1066,12/21/2017 21:20,12/21/2017 21:25,-1,13820.000000,13528.950000,1,1455.250000,25.000000,1430.250000,2.000000,136744.750000,1
BTC,full_sample,0,276,0.010000,1112,1114,12/22/2017 01:15,12/22/2017 01:25,-1,13340.000000,13231.000000,2,545.000000,25.000000,520.000000,2.000000,132855.000000,1
BTC,full_sample,0,276,0.010000,1187,1188,12/22/2017 07:30,12/22/2017 07:35,-1,12855.000000,12897.700000,1,-213.500000,25.000000,-238.500000,2.000000,128763.500000,1
BTC,full_sample,0,276,0.010000,1192,1193,12/22/2017 07:55,12/22/2017 08:00,-1,12770.000000,12821.950000,1,-259.750000,25.000000,-284.750000,2.000000,127959.750000,1
BTC,full_sample,0,276,0.010000,1194,1208,12/22/2017 08:05,12/22/2017 09:15,-1,12455.000000,12387.650000,14,336.750000,25.000000,311.750000,2.000000,124213.250000,1
BTC,full_sample,0,276,0.010000,1363,1403,12/25/2017 23:10,12/26/2017 02:30,1,15010.000000,15231.150000,40,1105.750000,25.000000,1080.750000,2.000000,151205.750000,1
BTC,full_sample,0,276,0.010000,1455,1466,12/26/2017 06:50,12/26/2017 07:45,1,15385.000000,15295.500000,11,-447.500000,25.000000,-472.500000,2.000000,153402.500000,1
BTC,full_sample,0,276,0.010000,1473,1482,12/26/2017 08:20,12/26/2017 09:05,1,15450.000000,15612.300000,9,811.500000,25.000000,786.500000,2.000000,155311.500000,1
BTC,full_sample,0,276,0.010000,1487,1501,12/26/2017 09:30,12/26/2017 10:40,1,15770.000000,15939.000000,14,845.000000,25.000000,820.000000,2.000000,158545.000000,1
BTC,full_sample,0,276,0.010000,1505,1510,12/26/2017 11:00,12/26/2017 11:25,1,16100.000000,15939.000000,5,-805.000000,25.000000,-830.000000,2.000000,160195.000000,1
BTC,full_sample,0,276,0.010000,1629,1640,12/26/2017 22:20,12/26/2017 23:15,1,16100.000000,16335.000000,11,1175.000000,25.000000,1150.000000,2.000000,162175.000000,1
BTC,full_sample,0,276,0.010000,1651,1657,12/27/2017 00:10,12/27/2017 00:40,1,16500.000000,16379.550000,6,-602.250000,25.000000,-627.250000,2.000000,164397.750000,1
BTC,full_sample,0,276,0.010000,1754,1762,12/27/2017 08:45,12/27/2017 09:25,-1,15400.000000,15256.050000,8,719.750000,25.000000,694.750000,2.000000,153280.250000,1
BTC,full_sample,0,276,0.010000,1776,1783,12/27/2017 10:35,12/27/2017 11:10,-1,15105.000000,14604.600000,7,2502.000000,25.000000,2477.000000,2.000000,148548.000000,1
BTC,full_sample,0,276,0.010000,1886,1888,12/27/2017 20:45,12/27/2017 20:55,-1,14460.000000,14160.200000,2,1499.000000,25.000000,1474.000000,2.000000,143101.000000,1
BTC,full_sample,0,276,0.010000,1889,1890,12/27/2017 21:00,12/27/2017 21:05,-1,13665.000000,13801.650000,1,-683.250000,25.000000,-708.250000,2.000000,137333.250000,1
