Market,RunType,Period,L,S,EntryBar,ExitBar,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,DurationBars,GrossPnL,TransactionCost,NetPnL,TurnoverContracts,TurnoverNotional,IsOOS
TY,full_sample,0,1440,0.010000,1441,1804,01/31/1983 08:10,02/07/1983 08:25,-1,82.937500,82.725313,363,212.187500,18.625000,193.562500,2.000000,165662.812500,1
TY,full_sample,0,1440,0.010000,2453,3024,02/18/1983 08:30,03/03/1983 08:05,1,84.531250,85.789687,571,1258.437500,18.625000,1239.812500,2.000000,170320.937500,1
TY,full_sample,0,1440,0.010000,4013,4100,03/22/1983 12:30,03/23/1983 13:45,-1,83.750000,84.524375,87,-774.375000,18.625000,-793.000000,2.000000,168274.375000,1
TY,full_sample,0,1440,0.010000,4612,5400,04/05/1983 08:25,04/20/1983 08:05,1,84.906250,85.573125,788,666.875000,18.625000,648.250000,2.000000,170479.375000,1
TY,full_sample,0,1440,0.010000,5791,6370,04/27/1983 10:40,05/09/1983 10:55,1,86.437500,86.408438,579,-29.062500,18.625000,-47.687500,2.000000,172845.937500,1
TY,full_sample,0,1440,0.010000,6981,7561,05/19/1983 13:50,06/02/1983 08:10,-1,85.250000,84.398125,580,851.875000,18.625000,833.250000,2.000000,169648.125000,1
TY,full_sample,0,1440,0.010000,7704,8064,06/06/1983 08:05,06/13/1983 08:05,-1,83.562500,83.104062,360,458.437500,18.625000,439.812500,2.000000,166666.562500,1
TY,full_sample,0,1440,0.010000,8726,8876,06/24/1983 09:15,06/28/1983 09:45,-1,82.281250,82.220313,150,60.937500,18.625000,42.312500,2.000000,164501.562500,1
TY,full_sample,0,1440,0.010000,9145,9657,07/05/1983 08:10,07/14/1983 08:50,-1,81.406250,80.768438,512,637.812500,18.625000,619.187500,2.000000,162174.687500,1
TY,full_sample,0,1440,0.010000,9722,9860,07/15/1983 08:15,07/18/1983 13:45,-1,79.968750,80.547500,138,-578.750000,18.625000,-597.375000,2.000000,160516.250000,1
TY,full_sample,0,1440,0.010000,10397,11088,07/28/1983 10:30,08/11/1983 08:05,-1,79.750000,78.211875,691,1538.125000,18.625000,1519.500000,2.000000,157961.875000,1
TY,full_sample,0,1440,0.010000,11592,11876,08/22/1983 08:05,08/25/1983 13:45,1,80.687500,80.406562,284,-280.937500,18.625000,-299.562500,2.000000,161094.062500,1
TY,full_sample,0,1440,0.010000,13320,13539,09/26/1983 08:05,09/29/1983 08:20,1,81.031250,80.561250,219,-470.000000,18.625000,-488.625000,2.000000,161592.500000,1
TY,full_sample,0,1440,0.010000,13825,14040,10/05/1983 08:10,10/10/1983 08:05,1,81.375000,81.087187,215,-287.812500,18.625000,-306.437500,2.000000,162462.187500,1
TY,full_sample,0,1440,0.010000,14842,15745,10/25/1983 08:55,11/10/1983 12:10,-1,79.906250,79.853125,903,53.125000,18.625000,34.500000,2.000000,159759.375000,1
TY,full_sample,0,1440,0.010000,16272,16776,11/22/1983 08:05,12/02/1983 08:05,1,80.531250,80.066250,504,-465.000000,18.625000,-483.625000,2.000000,160597.500000,1
TY,full_sample,0,1440,0.010000,16848,17855,12/05/1983 08:05,12/22/1983 14:00,-1,79.062500,79.221875,1007,-159.375000,18.625000,-178.000000,2.000000,158284.375000,1
TY,full_sample,0,1440,0.010000,18415,20232,01/05/1984 12:40,02/10/1984 08:05,1,79.468750,79.787813,1817,319.062500,18.625000,300.437500,2.000000,159256.562500,1
TY,full_sample,0,1440,0.010000,20235,21780,02/10/1984 08:20,03/13/1984 11:05,-1,79.781250,77.296563,1545,2484.687500,18.625000,2466.062500,2.000000,157077.812500,1
TY,full_sample,0,1440,0.010000,21852,21960,03/14/1984 11:05,03/16/1984 08:05,-1,76.531250,77.233437,108,-702.187500,18.625000,-720.812500,2.000000,153764.687500,1
TY,full_sample,0,1440,0.010000,22032,22610,03/19/1984 08:05,03/29/1984 08:15,-1,76.468750,76.507500,578,-38.750000,18.625000,-57.375000,2.000000,152976.250000,1
TY,full_sample,0,1440,0.010000,22861,23043,04/03/1984 11:10,04/06/1984 08:20,-1,75.750000,76.286563,182,-536.562500,18.625000,-555.187500,2.000000,152036.562500,1
TY,full_sample,0,1440,0.010000,23642,23980,04/18/1984 10:15,04/26/1984 08:25,-1,75.531250,75.750000,338,-218.750000,18.625000,-237.375000,2.000000,151281.250000,1
TY,full_sample,0,1440,0.010000,24120,24955,04/30/1984 08:05,05/15/1984 11:40,-1,75.000000,72.688438,835,2311.562500,18.625000,2292.937500,2.000000,147688.437500,1
TY,full_sample,0,1440,0.010000,25440,25704,05/24/1984 10:05,05/31/1984 08:05,-1,71.968750,70.479062,264,1489.687500,18.625000,1471.062500,2.000000,142447.812500,1
TY,full_sample,0,1440,0.010000,26496,26585,06/15/1984 08:05,06/18/1984 09:30,1,73.468750,73.105312,89,-363.437500,18.625000,-382.062500,2.000000,146574.062500,1
TY,full_sample,0,1440,0.010000,27288,27432,07/02/1984 08:05,07/05/1984 08:05,-1,71.062500,71.678438,144,-615.937500,18.625000,-634.562500,2.000000,142740.937500,1
TY,full_sample,0,1440,0.010000,27874,28008,07/13/1984 08:55,07/17/1984 08:05,1,73.843750,73.321875,134,-521.875000,18.625000,-540.500000,2.000000,147165.625000,1
TY,full_sample,0,1440,0.010000,28224,28283,07/20/1984 08:05,07/20/1984 13:00,1,74.062500,73.352812,59,-709.687500,18.625000,-728.312500,2.000000,147415.312500,1
TY,full_sample,0,1440,0.010000,28368,28665,07/24/1984 08:05,07/30/1984 08:50,1,74.093750,74.806875,297,713.125000,18.625000,694.500000,2.000000,148900.625000,1
TY,full_sample,0,1440,0.010000,28803,29028,08/01/1984 08:20,08/06/1984 09:05,1,75.562500,76.013437,225,450.937500,18.625000,432.312500,2.000000,151575.937500,1
TY,full_sample,0,1440,0.010000,29304,29376,08/10/1984 08:05,08/13/1984 08:05,1,76.781250,76.013437,72,-767.812500,18.625000,-786.437500,2.000000,152794.687500,1
TY,full_sample,0,1440,0.010000,30308,30649,08/29/1984 13:45,09/06/1984 12:10,-1,75.375000,75.087187,341,287.812500,18.625000,269.187500,2.000000,150462.187500,1
TY,full_sample,0,1440,0.010000,30821,31104,09/11/1984 08:30,09/17/1984 08:05,1,76.593750,77.127188,283,533.437500,18.625000,514.812500,2.000000,153720.937500,1
