Market,RunType,Period,L,S,EntryBar,ExitBar,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,DurationBars,GrossPnL,TransactionCost,NetPnL,TurnoverContracts,TurnoverNotional,IsOOS
TY,full_sample,0,6400,0.010000,7209,9021,01/31/1983 08:10,02/07/1983 08:22,-1,82.937500,82.725313,1812,212.187500,18.625000,193.562500,2.000000,165662.812500,1
TY,full_sample,0,6400,0.010000,11904,15123,02/17/1983 08:25,03/03/1983 08:04,1,83.906250,85.789687,3219,1883.437500,18.625000,1864.812500,2.000000,169695.937500,1
TY,full_sample,0,6400,0.010000,20068,20503,03/22/1983 12:29,03/23/1983 13:44,-1,83.750000,84.524375,435,-774.375000,18.625000,-793.000000,2.000000,168274.375000,1
TY,full_sample,0,6400,0.010000,23062,27003,04/05/1983 08:23,04/20/1983 08:04,1,84.906250,85.573125,3941,666.875000,18.625000,648.250000,2.000000,170479.375000,1
TY,full_sample,0,6400,0.010000,28959,31853,04/27/1983 10:40,05/09/1983 10:54,1,86.437500,86.408438,2894,-29.062500,18.625000,-47.687500,2.000000,172845.937500,1
TY,full_sample,0,6400,0.010000,34661,37806,05/19/1983 09:42,06/02/1983 08:07,-1,85.500000,84.398125,3145,1101.875000,18.625000,1083.250000,2.000000,169898.125000,1
TY,full_sample,0,6400,0.010000,38521,40320,06/06/1983 08:02,06/13/1983 08:01,-1,83.562500,83.104062,1799,458.437500,18.625000,439.812500,2.000000,166666.562500,1
TY,full_sample,0,6400,0.010000,43633,44384,06/24/1983 09:14,06/28/1983 09:45,-1,82.281250,82.220313,751,60.937500,18.625000,42.312500,2.000000,164501.562500,1
TY,full_sample,0,6400,0.010000,45728,48287,07/05/1983 08:09,07/14/1983 08:48,-1,81.406250,80.768438,2559,637.812500,18.625000,619.187500,2.000000,162174.687500,1
TY,full_sample,0,6400,0.010000,48610,49302,07/15/1983 08:11,07/18/1983 13:43,-1,79.968750,80.547500,692,-578.750000,18.625000,-597.375000,2.000000,160516.250000,1
TY,full_sample,0,6400,0.010000,51989,55441,07/28/1983 10:30,08/11/1983 08:02,-1,79.750000,78.211875,3452,1538.125000,18.625000,1519.500000,2.000000,157961.875000,1
TY,full_sample,0,6400,0.010000,57276,57666,08/18/1983 08:37,08/19/1983 09:07,1,80.625000,79.880625,390,-744.375000,18.625000,-763.000000,2.000000,160505.625000,1
TY,full_sample,0,6400,0.010000,57961,59381,08/22/1983 08:02,08/25/1983 13:42,1,80.687500,80.406562,1420,-280.937500,18.625000,-299.562500,2.000000,161094.062500,1
TY,full_sample,0,6400,0.010000,66601,67695,09/26/1983 08:02,09/29/1983 08:16,1,81.031250,80.561250,1094,-470.000000,18.625000,-488.625000,2.000000,161592.500000,1
TY,full_sample,0,6400,0.010000,69127,70200,10/05/1983 08:08,10/10/1983 08:01,1,81.375000,81.087187,1073,-287.812500,18.625000,-306.437500,2.000000,162462.187500,1
TY,full_sample,0,6400,0.010000,74212,78727,10/25/1983 08:53,11/10/1983 12:08,-1,79.906250,79.853125,4515,53.125000,18.625000,34.500000,2.000000,159759.375000,1
TY,full_sample,0,6400,0.010000,81362,83881,11/22/1983 08:03,12/02/1983 08:02,1,80.531250,80.066250,2519,-465.000000,18.625000,-483.625000,2.000000,160597.500000,1
TY,full_sample,0,6400,0.010000,84110,89278,12/02/1983 11:51,12/22/1983 13:59,-1,79.218750,79.221875,5168,-3.125000,18.625000,-21.750000,2.000000,158440.625000,1
TY,full_sample,0,6400,0.010000,92075,100471,01/05/1984 12:36,02/08/1984 08:32,1,79.468750,79.937500,8396,468.750000,18.625000,450.125000,2.000000,159406.250000,1
TY,full_sample,0,6400,0.010000,100471,108902,02/08/1984 08:32,03/13/1984 11:03,-1,79.937500,77.296563,8431,2640.937500,18.625000,2622.312500,2.000000,157234.062500,1
TY,full_sample,0,6400,0.010000,109261,109800,03/14/1984 11:02,03/16/1984 08:01,-1,76.531250,77.233437,539,-702.187500,18.625000,-720.812500,2.000000,153764.687500,1
TY,full_sample,0,6400,0.010000,110160,113050,03/19/1984 08:01,03/29/1984 08:11,-1,76.468750,76.507500,2890,-38.750000,18.625000,-57.375000,2.000000,152976.250000,1
TY,full_sample,0,6400,0.010000,114306,115219,04/03/1984 11:07,04/06/1984 08:20,-1,75.750000,76.286563,913,-536.562500,18.625000,-555.187500,2.000000,152036.562500,1
TY,full_sample,0,6400,0.010000,116641,117360,04/12/1984 08:02,04/16/1984 08:01,1,76.656250,76.044375,719,-611.875000,18.625000,-630.500000,2.000000,152700.625000,1
TY,full_sample,0,6400,0.010000,118212,119902,04/18/1984 10:13,04/26/1984 08:23,-1,75.531250,75.750000,1690,-218.750000,18.625000,-237.375000,2.000000,151281.250000,1
TY,full_sample,0,6400,0.010000,120601,124775,04/30/1984 08:02,05/15/1984 11:36,-1,75.000000,72.688438,4174,2311.562500,18.625000,2292.937500,2.000000,147688.437500,1
TY,full_sample,0,6400,0.010000,127204,128521,05/24/1984 10:05,05/31/1984 08:02,-1,71.968750,70.479062,1317,1489.687500,18.625000,1471.062500,2.000000,142447.812500,1
TY,full_sample,0,6400,0.010000,132481,132927,06/15/1984 08:02,06/18/1984 09:28,1,73.468750,73.105312,446,-363.437500,18.625000,-382.062500,2.000000,146574.062500,1
TY,full_sample,0,6400,0.010000,135773,137160,06/28/1984 08:54,07/05/1984 08:01,-1,71.250000,71.678438,1387,-428.437500,18.625000,-447.062500,2.000000,142928.437500,1
TY,full_sample,0,6400,0.010000,139321,140041,07/13/1984 08:02,07/17/1984 08:02,1,73.593750,73.321875,720,-271.875000,18.625000,-290.500000,2.000000,146915.625000,1
TY,full_sample,0,6400,0.010000,141121,141419,07/20/1984 08:02,07/20/1984 13:00,1,74.062500,73.352812,298,-709.687500,18.625000,-728.312500,2.000000,147415.312500,1
TY,full_sample,0,6400,0.010000,141840,143328,07/24/1984 08:01,07/30/1984 08:49,1,74.093750,74.806875,1488,713.125000,18.625000,694.500000,2.000000,148900.625000,1
TY,full_sample,0,6400,0.010000,144016,145141,08/01/1984 08:17,08/06/1984 09:02,1,75.562500,76.013437,1125,450.937500,18.625000,432.312500,2.000000,151575.937500,1
TY,full_sample,0,6400,0.010000,146520,146880,08/10/1984 08:01,08/13/1984 08:01,1,76.781250,76.013437,360,-767.812500,18.625000,-786.437500,2.000000,152794.687500,1
TY,full_sample,0,6400,0.010000,151542,153249,08/29/1984 13:43,09/06/1984 12:10,-1,75.375000,75.087187,1707,287.812500,18.625000,269.187500,2.000000,150462.187500,1
TY,full_sample,0,6400,0.010000,154106,155520,09/11/1984 08:27,09/17/1984 08:01,1,76.593750,77.127188,1414,533.437500,18.625000,514.812500,2.000000,153720.937500,1
TY,full_sample,0,6400,0.010000,156451,156963,09/19/1984 11:32,09/21/1984 08:04,1,77.906250,77.250938,512,-655.312500,18.625000,-673.937500,2.000000,155157.187500,1
TY,full_sample,0,6400,0.010000,163800,165920,10/18/1984 08:01,10/25/1984 13:21,1,77.843750,79.261875,2120,1418.125000,18.625000,1399.500000,2.000000,157105.625000,1
TY,full_sample,0,6400,0.010000,167044,169061,10/31/1984 08:05,11/07/1984 11:42,1,80.062500,80.066250,2017,3.750000,18.625000,-14.875000,2.000000,160128.750000,1
TY,full_sample,0,6400,0.010000,172655,174130,11/21/1984 11:36,11/28/1984 12:11,1,80.875000,81.613125,1475,738.125000,18.625000,719.500000,2.000000,162488.125000,1
TY,full_sample,0,6400,0.010000,187205,188949,01/22/1985 08:06,01/28/1985 13:10,1,81.156250,82.170000,1744,1013.750000,18.625000,995.125000,2.000000,163326.250000,1
TY,full_sample,0,6400,0.010000,194727,195843,02/20/1985 13:28,02/26/1985 08:04,-1,80.593750,79.790000,1116,803.750000,18.625000,785.125000,2.000000,160383.750000,1
TY,full_sample,0,6400,0.010000,196483,197309,02/27/1985 12:44,03/04/1985 08:30,-1,79.000000,78.338125,826,661.875000,18.625000,643.250000,2.000000,157338.125000,1
TY,full_sample,0,6400,0.010000,198360,198721,03/07/1985 08:01,03/08/1985 08:02,-1,77.562500,78.117188,361,-554.687500,18.625000,-573.312500,2.000000,155679.687500,1
TY,full_sample,0,6400,0.010000,201249,201600,03/19/1985 08:10,03/20/1985 08:01,-1,77.343750,78.117188,351,-773.437500,18.625000,-792.062500,2.000000,155460.937500,1
TY,full_sample,0,6400,0.010000,203287,205587,03/26/1985 12:08,04/04/1985 08:28,1,78.812500,78.828750,2300,16.250000,18.625000,-2.375000,2.000000,157641.250000,1
TY,full_sample,0,6400,0.010000,206640,210143,04/10/1985 08:01,04/23/1985 12:24,1,79.625000,81.427500,3503,1802.500000,18.625000,1783.875000,2.000000,161052.500000,1
TY,full_sample,0,6400,0.010000,212893,213919,05/03/1985 10:14,05/08/1985 09:20,1,82.250000,81.705938,1026,-544.062500,18.625000,-562.687500,2.000000,163955.937500,1
TY,full_sample,0,6400,0.010000,214560,217801,05/10/1985 08:01,05/23/1985 08:02,1,82.531250,84.737813,3241,2206.562500,18.625000,2187.937500,2.000000,167269.062500,1
TY,full_sample,0,6400,0.010000,218521,220742,05/28/1985 08:02,06/05/1985 09:03,1,85.593750,87.769688,2221,2175.937500,18.625000,2157.312500,2.000000,173363.437500,1
TY,full_sample,0,6400,0.010000,225012,226629,06/21/1985 08:13,06/27/1985 11:10,-1,85.593750,85.250313,1617,343.437500,18.625000,324.812500,2.000000,170844.062500,1
TY,full_sample,0,6400,0.010000,233261,234925,07/24/1985 13:42,07/31/1985 11:26,-1,84.718750,84.492812,1664,225.937500,18.625000,207.312500,2.000000,169211.562500,1
TY,full_sample,0,6400,0.010000,238694,239047,08/15/1985 08:15,08/16/1985 08:08,1,86.125000,85.387500,353,-737.500000,18.625000,-756.125000,2.000000,171512.500000,1
TY,full_sample,0,6400,0.010000,239315,241200,08/16/1985 12:36,08/26/1985 08:01,1,86.250000,86.872500,1885,622.500000,18.625000,603.875000,2.000000,173122.500000,1
TY,full_sample,0,6400,0.010000,244081,245915,09/06/1985 08:02,09/13/1985 08:36,-1,85.093750,84.997812,1834,95.937500,18.625000,77.312500,2.000000,170091.562500,1
TY,full_sample,0,6400,0.010000,250781,251444,10/02/1985 11:42,10/04/1985 10:45,1,86.187500,85.418437,663,-769.062500,18.625000,-787.687500,2.000000,171605.937500,1
