Market,L,S,BarsBack,ISStart,ISEnd,OOSStart,OOSEnd,ISGrossProfit,ISNetProfit,ISGrossWorstDrawDown,ISNetWorstDrawDown,ISGrossStDev,ISNetStDev,ISTradeUnits,ISGrossObjective,ISNetObjective,OOSGrossProfit,OOSNetProfit,OOSGrossWorstDrawDown,OOSNetWorstDrawDown,OOSGrossStDev,OOSNetStDev,OOSTradeUnits,OOSGrossObjective,OOSNetObjective
TY,4800,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,63469.687500,50711.562500,24089.062500,27404.312500,20.069561,20.080174,685.000000,2.634793,1.850496,38673.750000,34529.687500,10123.593750,11334.218750,18.696727,18.711639,222.500000,3.820160,3.046499
TY,4800,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,65651.562500,56646.375000,34984.375000,37405.625000,23.171725,23.181273,483.500000,1.876597,1.514381,29887.578125,26423.328125,12889.921875,14332.140625,20.831914,20.844277,186.000000,2.318678,1.843641
TY,4800,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,43075.625000,35020.312500,40553.750000,42770.125000,24.729671,24.739367,432.500000,1.062186,0.818803,25520.312500,22223.687500,13465.312500,14687.750000,21.584997,21.596096,177.000000,1.895263,1.513076
TY,4800,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,34927.187500,27356.125000,39882.500000,42005.750000,25.939210,25.948278,406.500000,0.875752,0.651247,22143.906250,18921.781250,15796.875000,17603.500000,22.357536,22.369464,173.000000,1.401790,1.074887
TY,4800,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,47795.625000,40373.562500,40437.500000,42560.750000,26.362895,26.371078,398.500000,1.181963,0.948610,19330.625000,16108.500000,15796.875000,17603.500000,22.538194,22.549603,173.000000,1.223699,0.915074
TY,6400,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,72766.406250,61908.031250,11848.281250,13474.000000,18.782089,18.788178,583.000000,6.141516,4.594629,37187.031250,33704.156250,12337.500000,13827.500000,17.652597,17.662169,187.000000,3.014146,2.437473
TY,6400,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,74651.015625,67228.953125,15867.812500,17674.437500,21.945651,21.950144,398.500000,4.704556,3.803739,22859.687500,20056.625000,12526.250000,13811.375000,20.143042,20.151335,150.500000,1.824943,1.452182
TY,6400,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,74108.125000,67971.187500,17838.125000,18471.375000,23.846545,23.851085,329.500000,4.154480,3.679812,18074.062500,15503.812500,18151.562500,19641.562500,21.172602,21.180799,138.000000,0.995730,0.789337
TY,6400,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,79997.031250,74567.843750,17937.500000,18552.125000,25.587818,25.592217,291.500000,4.459765,4.019369,19389.062500,16949.187500,21072.187500,22543.562500,22.223390,22.231997,131.000000,0.920126,0.751842
TY,6400,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,91518.125000,86275.187500,17937.500000,18552.125000,26.157364,26.161180,281.500000,5.102056,4.650421,17065.000000,14625.125000,21500.000000,22971.375000,22.359227,22.367856,131.000000,0.793721,0.636667
TY,7200,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,71237.187500,61086.562500,11590.625000,14421.625000,18.294683,18.300187,545.000000,6.146104,4.235761,28404.062500,25088.812500,15179.687500,16595.187500,17.244389,17.254353,178.000000,1.871189,1.511813
TY,7200,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,68707.578125,61769.765625,16650.468750,18270.843750,21.395875,21.399535,372.500000,4.126465,3.380783,9713.671875,7059.609375,16336.562500,17658.937500,19.929808,19.937580,142.500000,0.594597,0.399775
TY,7200,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,64596.250000,58962.187500,23011.562500,23868.312500,23.405701,23.410004,302.500000,2.807121,2.470312,2642.187500,239.562500,27970.937500,29721.687500,21.118796,21.126221,129.000000,0.094462,0.008060
TY,7200,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,71907.656250,67111.718750,21696.406250,22497.281250,25.479840,25.484494,257.500000,3.314266,2.983104,1158.437500,-1113.812500,30159.218750,31854.093750,22.225764,22.233331,122.000000,0.038411,-0.034966
TY,7200,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,80443.125000,75833.437500,21890.625000,22691.500000,26.105584,26.109706,247.500000,3.674775,3.341931,315.000000,-1938.625000,31015.625000,32710.500000,22.392017,22.399649,121.000000,0.010156,-0.059266
TY,8000,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,65044.531250,55359.531250,10377.343750,11801.625000,17.724743,17.730409,520.000000,6.267936,4.690840,26747.500000,23637.125000,9453.906250,10720.406250,16.753344,16.761984,167.000000,2.829254,2.204872
TY,8000,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,65053.359375,58506.671875,13984.687500,15027.687500,20.751886,20.756166,351.500000,4.651756,3.893258,6327.500000,3859.687500,13241.250000,14548.296875,19.429926,19.436201,132.500000,0.477863,0.265302
TY,8000,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,59550.937500,54308.000000,20345.312500,20736.437500,22.823913,22.828722,281.500000,2.927010,2.618965,1532.812500,-646.312500,23320.625000,25052.750000,20.911193,20.917914,117.000000,0.065728,-0.025798
TY,8000,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,75517.187500,71224.125000,20406.250000,20932.406250,25.128082,25.132821,230.500000,3.700689,3.402577,3020.937500,1009.437500,26087.812500,27768.718750,22.174506,22.180995,108.000000,0.115799,0.036352
TY,8000,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,85568.125000,81498.562500,20640.625000,21329.750000,25.854925,25.859147,218.500000,4.145617,3.820887,2315.000000,322.125000,26984.375000,28828.250000,22.350847,22.357435,107.000000,0.085790,0.011174
TY,9600,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,58263.281250,49267.406250,11475.937500,12276.812500,16.984386,16.989966,483.000000,5.076995,4.013045,21348.437500,18498.812500,14724.843750,16270.718750,16.144421,16.153127,153.000000,1.449824,1.136939
TY,9600,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,63372.265625,57402.953125,16649.531250,17469.031250,19.877938,19.880712,320.500000,3.806249,3.285984,9077.109375,6944.546875,18085.234375,18792.984375,18.993529,18.999199,114.500000,0.501907,0.369529
