Market,RunType,Period,L,S,EntryBar,ExitBar,EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,DurationBars,GrossPnL,TransactionCost,NetPnL,TurnoverContracts,TurnoverNotional,IsOOS
TY,reference_full,0,11200,0.040000,26619,35250,04/18/1983 13:40,05/20/1983 13:31,1,86.406250,84.875000,8631,-1531.250000,18.625000,-1549.875000,2.000000,171281.250000,1
TY,reference_full,0,11200,0.040000,35250,57273,05/20/1983 13:31,08/18/1983 08:34,-1,84.875000,80.535000,22023,4340.000000,18.625000,4321.375000,2.000000,165410.000000,1
TY,reference_full,0,11200,0.040000,66601,75955,09/26/1983 08:02,10/31/1983 13:56,1,81.218750,79.656250,9354,-1562.500000,18.625000,-1581.125000,2.000000,160875.000000,1
TY,reference_full,0,11200,0.040000,75955,99117,10/31/1983 13:56,02/02/1984 09:58,-1,79.656250,80.468750,23162,-812.500000,18.625000,-831.125000,2.000000,160125.000000,1
TY,reference_full,0,11200,0.040000,99117,104041,02/02/1984 09:58,02/23/1984 08:02,1,80.468750,79.125000,4924,-1343.750000,18.625000,-1362.375000,2.000000,159593.750000,1
TY,reference_full,0,11200,0.040000,104041,129543,02/23/1984 08:02,06/04/1984 13:04,-1,79.125000,72.572500,25502,6552.500000,18.625000,6533.875000,2.000000,151697.500000,1
TY,reference_full,0,11200,0.040000,139372,176464,07/13/1984 08:53,12/07/1984 09:05,1,73.843750,79.140000,37092,5296.250000,18.625000,5277.625000,2.000000,152983.750000,1
TY,reference_full,0,11200,0.040000,187211,195481,01/22/1985 08:12,02/25/1985 08:02,1,81.343750,79.687500,8270,-1656.250000,18.625000,-1674.875000,2.000000,161031.250000,1
TY,reference_full,0,11200,0.040000,195481,206643,02/25/1985 08:02,04/10/1985 08:04,-1,79.687500,79.875000,11162,-187.500000,18.625000,-206.125000,2.000000,159562.500000,1
TY,reference_full,0,11200,0.040000,206643,225360,04/10/1985 08:04,06/24/1985 08:01,1,79.875000,85.110000,18717,5235.000000,18.625000,5216.375000,2.000000,164985.000000,1
TY,reference_full,0,11200,0.040000,233352,240141,07/25/1985 09:13,08/21/1985 08:22,-1,84.406250,87.002500,6789,-2596.250000,18.625000,-2614.875000,2.000000,171408.750000,1
TY,reference_full,0,11200,0.040000,240480,245299,08/22/1985 08:01,09/11/1985 10:20,1,87.343750,84.240000,4819,-3103.750000,18.625000,-3122.375000,2.000000,171583.750000,1
TY,reference_full,0,11200,0.040000,254879,301388,10/17/1985 14:00,04/24/1986 09:09,1,86.406250,101.040000,46509,14633.750000,18.625000,14615.125000,2.000000,187446.250000,1
TY,reference_full,0,11200,0.040000,305305,313928,05/09/1986 08:26,06/13/1986 08:09,-1,100.500000,98.377500,8623,2122.500000,18.625000,2103.875000,2.000000,198877.500000,1
TY,reference_full,0,11200,0.040000,316801,336240,06/25/1986 08:02,09/11/1986 08:01,1,101.187500,100.950000,19439,-237.500000,18.625000,-256.125000,2.000000,202137.500000,1
TY,reference_full,0,11200,0.040000,336337,348840,09/11/1986 09:38,10/30/1986 08:01,-1,100.500000,102.937500,12503,-2437.500000,18.625000,-2456.125000,2.000000,203437.500000,1
TY,reference_full,0,11200,0.040000,348840,374210,10/30/1986 08:01,02/10/1987 10:51,1,102.937500,103.250000,25370,312.500000,18.625000,293.875000,2.000000,206187.500000,1
TY,reference_full,0,11200,0.040000,374210,405033,02/10/1987 10:51,06/15/1987 08:34,-1,103.250000,97.110000,30823,6140.000000,18.625000,6121.375000,2.000000,200360.000000,1
TY,reference_full,0,11200,0.040000,406053,416060,06/17/1987 13:34,07/28/1987 12:21,1,97.312500,95.250000,10007,-2062.500000,18.625000,-2081.125000,2.000000,192562.500000,1
TY,reference_full,0,11200,0.040000,416060,437040,07/28/1987 12:21,10/20/1987 08:01,-1,95.250000,88.270000,20980,6980.000000,18.625000,6961.375000,2.000000,183520.000000,1
TY,reference_full,0,11200,0.040000,437400,450000,10/21/1987 08:01,12/10/1987 08:01,1,91.218750,91.593750,12600,375.000000,18.625000,356.375000,2.000000,182812.500000,1
TY,reference_full,0,11200,0.040000,450000,455007,12/10/1987 08:01,12/30/1987 13:28,-1,91.593750,94.217500,5007,-2623.750000,18.625000,-2642.375000,2.000000,185811.250000,1
TY,reference_full,0,11200,0.040000,455792,474822,01/05/1988 08:33,03/18/1988 13:43,1,94.687500,96.437500,19030,1750.000000,18.625000,1731.375000,2.000000,191125.000000,1
TY,reference_full,0,11200,0.040000,474822,496080,03/18/1988 13:43,06/14/1988 08:01,-1,96.437500,94.125000,21258,2312.500000,18.625000,2293.875000,2.000000,190562.500000,1
TY,reference_full,0,11200,0.040000,496080,507346,06/14/1988 08:01,07/28/1988 09:47,1,94.125000,92.000000,11266,-2125.000000,18.625000,-2143.625000,2.000000,186125.000000,1
TY,reference_full,0,11200,0.040000,507346,516855,07/28/1988 09:47,09/02/1988 12:16,-1,92.000000,93.468750,9509,-1468.750000,18.625000,-1487.375000,2.000000,185468.750000,1
TY,reference_full,0,11200,0.040000,516855,535992,09/02/1988 12:16,11/16/1988 13:53,1,93.468750,93.593750,19137,125.000000,18.625000,106.375000,2.000000,187062.500000,1
TY,reference_full,0,11200,0.040000,535992,552694,11/16/1988 13:53,01/18/1989 12:15,-1,93.593750,93.843750,16702,-250.000000,18.625000,-268.625000,2.000000,187437.500000,1
TY,reference_full,0,11200,0.040000,552694,562010,01/18/1989 12:15,02/22/1989 07:31,1,93.843750,92.062500,9316,-1781.250000,18.625000,-1799.875000,2.000000,185906.250000,1
TY,reference_full,0,11200,0.040000,562010,573614,02/22/1989 07:31,04/05/1989 07:35,-1,92.062500,92.906250,11604,-843.750000,18.625000,-862.375000,2.000000,184968.750000,1
TY,reference_full,0,11200,0.040000,573614,610234,04/05/1989 07:35,08/14/1989 11:15,1,92.906250,98.781250,36620,5875.000000,18.625000,5856.375000,2.000000,191687.500000,1
TY,reference_full,0,11200,0.040000,610234,625222,08/14/1989 11:15,10/06/1989 07:43,-1,98.781250,99.468750,14988,-687.500000,18.625000,-706.125000,2.000000,198250.000000,1
TY,reference_full,0,11200,0.040000,625222,647496,10/06/1989 07:43,12/26/1989 12:17,1,99.468750,99.937500,22274,468.750000,18.625000,450.125000,2.000000,199406.250000,1
TY,reference_full,0,11200,0.040000,647496,688410,12/26/1989 12:17,05/23/1990 07:31,-1,99.937500,95.968750,40914,3968.750000,18.625000,3950.125000,2.000000,195906.250000,1
TY,reference_full,0,11200,0.040000,688410,702050,05/23/1990 07:31,07/12/1990 08:11,1,95.968750,95.843750,13640,-125.000000,18.625000,-143.625000,2.000000,191812.500000,1
TY,reference_full,0,11200,0.040000,702050,706809,07/12/1990 08:11,07/30/1990 07:30,-1,95.843750,97.375000,4759,-1531.250000,18.625000,-1549.875000,2.000000,193218.750000,1
TY,reference_full,0,11200,0.040000,706809,709052,07/30/1990 07:30,08/06/1990 11:33,1,97.375000,95.625000,2243,-1750.000000,18.625000,-1768.625000,2.000000,193000.000000,1
TY,reference_full,0,11200,0.040000,709052,724459,08/06/1990 11:33,10/01/1990 08:20,-1,95.625000,94.875000,15407,750.000000,18.625000,731.375000,2.000000,190500.000000,1
TY,reference_full,0,11200,0.040000,724459,753200,10/01/1990 08:20,01/14/1991 07:21,1,94.875000,97.593750,28741,2718.750000,18.625000,2700.125000,2.000000,192468.750000,1
TY,reference_full,0,11200,0.040000,753200,758811,01/14/1991 07:21,02/01/1991 07:32,-1,97.593750,99.968750,5611,-2375.000000,18.625000,-2393.625000,2.000000,197562.500000,1
TY,reference_full,0,11200,0.040000,758811,766129,02/01/1991 07:32,02/28/1991 09:30,1,99.968750,98.937500,7318,-1031.250000,18.625000,-1049.875000,2.000000,198906.250000,1
TY,reference_full,0,11200,0.040000,766129,778402,02/28/1991 09:30,04/15/1991 07:23,-1,98.937500,99.531250,12273,-593.750000,18.625000,-612.375000,2.000000,198468.750000,1
TY,reference_full,0,11200,0.040000,778402,786943,04/15/1991 07:23,05/14/1991 09:44,1,99.531250,98.281250,8541,-1250.000000,18.625000,-1268.625000,2.000000,197812.500000,1
TY,reference_full,0,11200,0.040000,786943,806475,05/14/1991 09:44,07/24/1991 08:36,-1,98.281250,97.781250,19532,500.000000,18.625000,481.375000,2.000000,196062.500000,1
TY,reference_full,0,11200,0.040000,806475,858168,07/24/1991 08:36,01/27/1992 10:09,1,97.781250,103.750000,51693,5968.750000,18.625000,5950.125000,2.000000,201531.250000,1
TY,reference_full,0,11200,0.040000,858168,879028,01/27/1992 10:09,04/09/1992 11:09,-1,103.750000,103.031250,20860,718.750000,18.625000,700.125000,2.000000,206781.250000,1
TY,reference_full,0,11200,0.040000,879028,932027,04/09/1992 11:09,10/19/1992 07:48,1,103.031250,107.656250,52999,4625.000000,18.625000,4606.375000,2.000000,210687.500000,1
TY,reference_full,0,11200,0.040000,932027,950384,10/19/1992 07:48,12/22/1992 13:45,-1,107.656250,107.312500,18357,343.750000,18.625000,325.125000,2.000000,214968.750000,1
TY,reference_full,0,11200,0.040000,950384,990800,12/22/1992 13:45,05/19/1993 07:21,1,107.312500,111.375000,40416,4062.500000,18.625000,4043.875000,2.000000,218687.500000,1
TY,reference_full,0,11200,0.040000,990800,1000800,05/19/1993 07:21,06/24/1993 07:21,-1,111.375000,112.562500,10000,-1187.500000,18.625000,-1206.125000,2.000000,223937.500000,1
TY,reference_full,0,11200,0.040000,1000800,1035099,06/24/1993 07:21,10/25/1993 12:20,1,112.562500,114.656250,34299,2093.750000,18.625000,2075.125000,2.000000,227218.750000,1
TY,reference_full,0,11200,0.040000,1035099,1055974,10/25/1993 12:20,01/07/1994 13:35,-1,114.656250,113.843750,20875,812.500000,18.625000,793.875000,2.000000,228500.000000,1
TY,reference_full,0,11200,0.040000,1055974,1065631,01/07/1994 13:35,02/11/1994 07:52,1,113.843750,112.000000,9657,-1843.750000,18.625000,-1862.375000,2.000000,225843.750000,1
TY,reference_full,0,11200,0.040000,1065631,1111754,02/11/1994 07:52,07/29/1994 09:55,-1,112.000000,105.031250,46123,6968.750000,18.625000,6950.125000,2.000000,217031.250000,1
TY,reference_full,0,11200,0.040000,1111754,1123210,07/29/1994 09:55,09/09/1994 07:31,1,105.031250,103.312500,11456,-1718.750000,18.625000,-1737.375000,2.000000,208343.750000,1
TY,reference_full,0,11200,0.040000,1123210,1158025,09/09/1994 07:31,01/13/1995 07:46,-1,103.312500,100.656250,34815,2656.250000,18.625000,2637.625000,2.000000,203968.750000,1
TY,reference_full,0,11200,0.040000,1158025,1209469,01/13/1995 07:46,07/19/1995 11:50,1,100.656250,108.750000,51444,8093.750000,18.625000,8075.125000,2.000000,209406.250000,1
TY,reference_full,0,11200,0.040000,1209469,1220436,07/19/1995 11:50,08/28/1995 07:57,-1,108.750000,109.906250,10967,-1156.250000,18.625000,-1174.875000,2.000000,218656.250000,1
TY,reference_full,0,11200,0.040000,1220436,1268002,08/28/1995 07:57,02/20/1996 07:23,1,109.906250,113.156250,47566,3250.000000,18.625000,3231.375000,2.000000,223062.500000,1
TY,reference_full,0,11200,0.040000,1268002,1313702,02/20/1996 07:23,08/01/1996 09:03,-1,113.156250,107.687500,45700,5468.750000,18.625000,5450.125000,2.000000,220843.750000,1
TY,reference_full,0,11200,0.040000,1313702,1322000,08/01/1996 09:03,08/30/1996 07:21,1,107.687500,106.250000,8298,-1437.500000,18.625000,-1456.125000,2.000000,213937.500000,1
