Period,Family,entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos,L,S
1,tf,404862,414350,1987-06-12 11:43:00,1987-07-21 13:51:00,1,96.625,96.09375,9488,-549.875,18.625,True,4800,0.02
1,tf,414350,420673,1987-07-21 13:51:00,1987-08-14 11:14:00,-1,96.09375,95.75,6323,325.125,18.625,True,4800,0.02
1,tf,420673,423720,1987-08-14 11:14:00,1987-08-27 08:01:00,1,95.75,94.40625,3047,-1362.375,18.625,True,4800,0.02
1,tf,423720,427567,1987-08-27 08:01:00,1987-09-11 12:08:00,-1,94.40625,90.748125,3847,3639.499999999998,18.625,True,4800,0.02
2,tf,431673,436161,1987-09-29 08:34:00,1987-10-15 11:22:00,-1,89.375,86.5725,4488,2783.874999999995,18.625,True,4800,0.02
2,tf,437400,438229,1987-10-21 08:01:00,1987-10-23 09:50:00,1,89.5,92.94687499999999,829,3428.2499999999914,18.625,True,4800,0.02
2,tf,441512,446406,1987-11-05 10:33:00,1987-11-25 08:07:00,1,94.84375,93.53125,4894,-1331.125,18.625,True,4800,0.02
2,tf,446406,451691,1987-11-25 08:07:00,1987-12-16 12:12:00,-1,93.53125,92.405625,5285,1106.9999999999995,18.625,True,4800,0.02
3,tf,453603,456856,1987-12-24 08:04:00,1988-01-08 08:17:00,1,93.90625,92.824375,3253,-1100.4999999999966,18.625,True,4800,0.02
3,tf,457173,458640,1988-01-08 13:34:00,1988-01-15 08:01:00,-1,92.71875,94.71875,1467,-2018.625,18.625,True,4800,0.02
3,tf,458640,471004,1988-01-15 08:01:00,1988-03-04 10:05:00,1,94.71875,96.9375,12364,2200.125,18.625,True,4800,0.02
4,tf,481320,494279,1988-04-15 08:01:00,1988-06-06 14:00:00,-1,94.4375,92.90625,12959,1512.625,18.625,True,4800,0.02
4,tf,494279,497193,1988-06-06 14:00:00,1988-06-17 08:34:00,1,92.90625,92.94687499999999,2914,21.999999999991473,18.625,True,4800,0.02
5,tf,507346,508176,1988-07-28 09:47:00,1988-08-01 11:37:00,-1,92.0,92.8125,830,-831.125,18.625,True,4800,0.02
5,tf,508176,510335,1988-08-01 11:37:00,1988-08-09 11:36:00,1,92.8125,92.0,2159,-831.125,18.625,True,4800,0.02
5,tf,510335,515489,1988-08-09 11:36:00,1988-08-29 13:30:00,-1,92.0,91.8125,5154,168.875,18.625,True,4800,0.02
5,tf,515489,522684,1988-08-29 13:30:00,1988-09-27 13:25:00,1,91.8125,93.125,7195,1293.875,18.625,True,4800,0.02
5,tf,522684,524529,1988-09-27 13:25:00,1988-10-05 08:10:00,-1,93.125,94.53125,1845,-1424.875,18.625,True,4800,0.02
6,tf,530447,532800,1988-10-27 10:48:00,1988-11-07 07:21:00,1,95.34375,94.4375,2353,-924.875,18.625,True,4800,0.02
6,tf,532800,541172,1988-11-07 07:21:00,1988-12-06 13:33:00,-1,94.4375,93.71875,8372,700.125,18.625,True,4800,0.02
6,tf,541172,543203,1988-12-06 13:33:00,1988-12-14 07:24:00,1,93.71875,92.4375,2031,-1299.875,18.625,True,4800,0.02
6,tf,543203,551294,1988-12-14 07:24:00,1989-01-13 08:55:00,-1,92.4375,93.21875,8091,-799.875,18.625,True,4800,0.02
7,tf,554466,559081,1989-01-25 08:27:00,1989-02-09 12:02:00,1,94.25,93.25,4615,-1018.625,18.625,True,4800,0.04
7,tf,559081,572800,1989-02-09 12:02:00,1989-04-03 07:21:00,-1,93.25,92.15625,13719,1075.125,18.625,True,4800,0.04
8,tf,579611,583689,1989-04-26 07:32:00,1989-05-10 08:50:00,1,93.53125,92.6875,4078,-862.375,18.625,True,4800,0.04
8,tf,583689,584412,1989-05-10 08:50:00,1989-05-12 07:33:00,-1,92.6875,94.15625,723,-1487.375,18.625,True,4800,0.04
8,tf,584412,595642,1989-05-12 07:33:00,1989-06-22 08:03:00,1,94.15625,97.15625,11230,2981.375,18.625,True,4800,0.04
8,tf,595642,598039,1989-06-22 08:03:00,1989-06-30 08:00:00,-1,97.15625,98.9375,2397,-1799.875,18.625,True,4800,0.04
9,tf,605210,609200,1989-07-27 07:31:00,1989-08-10 07:21:00,1,100.1875,99.375,3990,-831.125,18.625,True,4800,0.04
9,tf,609200,617656,1989-08-10 07:21:00,1989-09-11 08:17:00,-1,99.375,98.71875,8456,637.625,18.625,True,4800,0.04
9,tf,617656,621185,1989-09-11 08:17:00,1989-09-21 13:46:00,1,98.71875,98.25,3529,-487.375,18.625,True,4800,0.04
9,tf,621185,625210,1989-09-21 13:46:00,1989-10-06 07:31:00,-1,98.25,99.03125,4025,-799.875,18.625,True,4800,0.04
10,tf,633687,634932,1989-11-06 08:48:00,1989-11-09 09:33:00,-1,99.46875,100.78125,1245,-1331.125,18.625,True,4800,0.04
10,tf,634932,642810,1989-11-09 09:33:00,1989-12-08 07:31:00,1,100.78125,100.0625,7878,-737.375,18.625,True,4800,0.04
10,tf,642810,644440,1989-12-08 07:31:00,1989-12-14 08:01:00,-1,100.0625,100.84375,1630,-799.875,18.625,True,4800,0.04
10,tf,644440,647496,1989-12-14 08:01:00,1989-12-26 12:17:00,1,100.84375,99.9375,3056,-924.875,18.625,True,4800,0.04
12,tf,680905,688410,1990-04-26 09:06:00,1990-05-23 07:31:00,-1,93.34375,95.90625,7505,-2581.125,18.625,True,9600,0.04
12,tf,688410,702050,1990-05-23 07:31:00,1990-07-12 08:11:00,1,95.90625,95.84375,13640,-81.125,18.625,True,9600,0.04
12,tf,702050,704945,1990-07-12 08:11:00,1990-07-23 09:46:00,-1,95.84375,97.21875,2895,-1393.625,18.625,True,9600,0.04
13,tf,706809,709052,1990-07-30 07:30:00,1990-08-06 11:33:00,1,97.375,95.625,2243,-1768.625,18.625,True,9600,0.04
13,tf,709052,724459,1990-08-06 11:33:00,1990-10-01 08:20:00,-1,95.625,94.875,15407,731.375,18.625,True,9600,0.04
14,tf,733622,745767,1990-11-01 07:43:00,1990-12-14 10:08:00,1,96.1875,99.12375,12145,2917.625000000001,18.625,True,4800,0.01
14,tf,748056,748810,1990-12-24 08:17:00,1990-12-27 07:31:00,-1,98.28125,98.664375,754,-401.7500000000068,18.625,True,4800,0.01
14,tf,750410,751200,1991-01-03 07:31:00,1991-01-07 07:21:00,1,99.84375,98.96906249999999,790,-893.3125000000074,18.625,True,4800,0.01
14,tf,752392,752810,1991-01-09 13:53:00,1991-01-11 07:31:00,-1,97.6875,98.5696875,418,-900.8125000000006,18.625,True,4800,0.01
14,tf,753200,754400,1991-01-14 07:21:00,1991-01-17 07:21:00,-1,97.59375,98.53812500000001,1200,-963.000000000008,18.625,True,4800,0.01
15,tf,758811,766022,1991-02-01 07:32:00,1991-02-28 07:43:00,1,99.96875,99.125,7211,-862.375,18.625,True,9600,0.04
15,tf,766022,775700,1991-02-28 07:43:00,1991-04-04 09:01:00,-1,99.125,99.15625,9678,-49.875,18.625,True,9600,0.04
16,tf,784000,785206,1991-05-03 07:21:00,1991-05-08 07:27:00,1,99.8125,98.87625,1206,-954.8750000000011,18.625,True,9600,0.01
16,tf,786943,789272,1991-05-14 09:44:00,1991-05-22 08:33:00,-1,98.28125,99.0746875,2329,-812.062499999996,18.625,True,9600,0.01
16,tf,792032,795817,1991-06-03 07:53:00,1991-06-14 10:58:00,-1,98.09375,96.9915625,3785,1083.5624999999995,18.625,True,9600,0.01
18,tf,831739,834810,1991-10-22 09:40:00,1991-11-01 07:31:00,-1,101.21875,103.21875,3071,-2018.625,18.625,True,9600,0.04
19,tf,857777,877470,1992-01-24 10:18:00,1992-04-03 11:51:00,-1,103.75,102.78125,19693,950.125,18.625,True,9600,0.03
21,tf,907200,932027,1992-07-22 07:21:00,1992-10-19 07:48:00,1,106.6875,107.65625,24827,950.125,18.625,True,9600,0.03
22,tf,932400,950384,1992-10-20 07:21:00,1992-12-22 13:45:00,-1,107.375,107.3125,17984,43.875,18.625,True,9600,0.03
23,tf,958418,972596,1993-01-22 07:39:00,1993-03-15 10:37:00,1,108.34375,110.095,14178,1732.6249999999989,18.625,True,9600,0.03
24,tf,982964,990529,1993-04-21 10:05:00,1993-05-18 09:30:00,1,112.96875,111.8125,7565,-1174.875,18.625,True,9600,0.04
24,tf,990529,1000162,1993-05-18 09:30:00,1993-06-22 10:03:00,-1,111.8125,112.53125,9633,-737.375,18.625,True,9600,0.04
25,tf,1009068,1016771,1993-07-23 11:49:00,1993-08-19 13:32:00,-1,112.03125,114.34375,7703,-2331.125,18.625,True,9600,0.04
27,tf,1061640,1065631,1994-01-28 08:01:00,1994-02-11 07:52:00,1,114.625,111.9375,3991,-2706.125,18.625,True,16000,0.03
29,tf,1111754,1123210,1994-07-29 09:55:00,1994-09-09 07:31:00,1,105.03125,103.3125,11456,-1737.375,18.625,True,11200,0.04
