Period,Family,IS_start,IS_end,OOS_start,OOS_end,L,S,IS_Objective,IS_Profit,IS_MaxDD,OOS_Objective,OOS_Profit,OOS_MaxDD,OOS_Trades,RoundTurnCost
1,tf,1983-01-03 08:01:00,1987-06-05 14:00:00,1987-06-08 08:01:00,1987-09-15 14:00:00,4800,0.02,4.993551,26231.125,5253.0,0.646442773337533,2052.375,3174.875,4,18.625
2,tf,1983-04-13 08:01:00,1987-09-15 14:00:00,1987-09-16 08:01:00,1987-12-23 14:00:00,4800,0.02,5.078883,26679.375,5253.0,2.0537845507911068,6603.687499999985,3215.3750000000146,4,18.625
3,tf,1983-07-22 08:01:00,1987-12-23 14:00:00,1987-12-24 08:01:00,1988-04-05 14:00:00,4800,0.02,5.749964,30204.5625,5253.0,0.31774595464151656,1259.1875,3962.875,3,18.625
4,tf,1983-10-31 08:01:00,1988-04-05 14:00:00,1988-04-06 08:01:00,1988-07-14 14:00:00,4800,0.02,6.213247,32638.1875,5253.0,0.8464624575377642,1806.5624999999854,2134.2500000000146,2,18.625
5,tf,1984-02-09 08:01:00,1988-07-14 14:00:00,1988-07-15 08:01:00,1988-10-21 14:00:00,4800,0.02,6.59096,34622.3125,5253.0,-0.46404625583848125,-1539.9375,3318.5,5,18.625
6,tf,1984-05-21 08:01:00,1988-10-21 14:00:00,1988-10-24 08:01:00,1989-01-24 14:00:00,4800,0.02,5.555052,29180.6875,5253.0,-0.3780458914308921,-1396.3125,3693.5,4,18.625
7,tf,1984-08-29 08:01:00,1989-01-24 14:00:00,1989-01-25 07:21:00,1989-04-25 14:00:00,4800,0.04,5.31834,31916.6875,6001.25,0.4064962256873657,922.1875,2268.625,2,18.625
8,tf,1984-12-07 08:01:00,1989-04-25 14:00:00,1989-04-26 07:21:00,1989-07-25 14:00:00,4800,0.04,5.610946,33672.6875,6001.25,-0.07324195110142823,-302.5625,4131.0,4,18.625
9,tf,1985-03-20 08:01:00,1989-07-25 14:00:00,1989-07-26 07:21:00,1989-10-23 14:00:00,4800,0.04,5.55577,33341.5625,6001.25,-0.10920917017187108,-490.0625,4487.375,4,18.625
10,tf,1985-06-28 08:01:00,1989-10-23 14:00:00,1989-10-24 07:21:00,1990-01-23 14:00:00,4800,0.04,4.674953,28055.5625,6001.25,-0.4602180718989528,-1865.0625,4052.5625,4,18.625
11,tf,1985-10-08 08:01:00,1990-01-23 14:00:00,1990-01-24 07:21:00,1990-04-24 14:00:00,9600,0.04,4.467584,36599.5625,8192.25,1.97971875,3959.4375,2000.0,0,18.625
12,tf,1986-01-17 08:01:00,1990-04-24 14:00:00,1990-04-25 07:21:00,1990-07-24 14:00:00,9600,0.04,4.128086,33818.3125,8192.25,-0.9004319751614283,-5002.6875,5555.875,3,18.625
13,tf,1986-04-29 08:01:00,1990-07-24 14:00:00,1990-07-25 07:21:00,1990-10-22 14:00:00,9600,0.04,2.627155,21522.3125,8192.25,-0.026047114942047783,-77.8125,2987.375,2,18.625
14,tf,1986-08-07 08:01:00,1990-10-22 14:00:00,1990-10-23 07:21:00,1991-01-22 14:00:00,4800,0.01,2.799517,15510.375,5540.375,-0.05786152208781818,-241.2500000000291,4169.437500000029,5,18.625
15,tf,1986-11-14 08:01:00,1991-01-22 14:00:00,1991-01-23 07:21:00,1991-04-23 14:00:00,9600,0.04,2.660266,21793.5625,8192.25,-0.5337434986680198,-1577.8125,2956.125,2,18.625
16,tf,1987-02-26 08:01:00,1991-04-23 14:00:00,1991-04-24 07:21:00,1991-07-23 14:00:00,9600,0.01,2.613948,12361.6875,4729.125,-0.5234288401464512,-973.9375,1860.6875,3,18.625
17,tf,1987-06-08 08:01:00,1991-07-23 14:00:00,1991-07-24 07:21:00,1991-10-21 14:00:00,9600,0.04,1.573919,12893.9375,8192.25,2.364851851851852,3990.6875,1687.5,0,18.625
18,tf,1987-09-16 08:01:00,1991-10-21 14:00:00,1991-10-22 07:21:00,1992-01-21 14:00:00,9600,0.04,1.408351,11537.5625,8192.25,-0.049529411764705884,-184.1875,3718.75,1,18.625
19,tf,1987-12-24 08:01:00,1992-01-21 14:00:00,1992-01-22 07:21:00,1992-04-21 14:00:00,9600,0.03,1.580088,12145.9375,7686.875,0.017908772407224736,65.8125,3674.875,1,18.625
20,tf,1988-04-06 08:01:00,1992-04-21 14:00:00,1992-04-22 07:21:00,1992-07-21 14:00:00,9600,0.03,0.985332,7574.125,7686.875,1.120247191011236,3115.6875,2781.25,0,18.625
21,tf,1988-07-15 08:01:00,1992-07-21 14:00:00,1992-07-22 07:21:00,1992-10-19 14:00:00,9600,0.03,1.738206,13361.375,7686.875,0.34272640689055445,1034.5625,3018.625,1,18.625
22,tf,1988-10-24 08:01:00,1992-10-19 14:00:00,1992-10-20 07:21:00,1993-01-19 14:00:00,9600,0.03,1.782682,13703.25,7686.875,0.2517308271179638,940.8125,3737.375,1,18.625
23,tf,1989-01-25 07:21:00,1993-01-19 14:00:00,1993-01-20 07:21:00,1993-04-20 14:00:00,9600,0.03,1.959915,15065.625,7686.875,0.38468234530378587,1629.5625,4236.125,1,18.625
24,tf,1989-04-26 07:21:00,1993-04-20 14:00:00,1993-04-21 07:21:00,1993-07-20 14:00:00,9600,0.04,2.525229,19961.9375,7905.0,-0.24051554136538641,-640.3125,2662.25,2,18.625
25,tf,1989-07-26 07:21:00,1993-07-20 14:00:00,1993-07-21 07:21:00,1993-10-18 14:00:00,9600,0.04,1.623142,12830.9375,7905.0,-0.18069030093375296,-434.1875,2402.9375,1,18.625
26,tf,1989-10-24 07:21:00,1993-10-18 14:00:00,1993-10-19 07:21:00,1994-01-17 14:00:00,16000,0.03,1.73223,12798.6875,7388.5625,0.39188372093023255,1053.1875,2687.5,0,18.625
27,tf,1990-01-24 07:21:00,1994-01-17 14:00:00,1994-01-18 07:21:00,1994-04-18 14:00:00,16000,0.03,1.533443,11329.9375,7388.5625,1.1983731997884848,4815.8125,4018.625,1,18.625
28,tf,1990-04-25 07:21:00,1994-04-18 14:00:00,1994-04-19 07:21:00,1994-07-19 14:00:00,11200,0.04,1.60468,15493.1875,9655.0,-0.25866115702479336,-978.0625,3781.25,0,18.625
29,tf,1990-07-25 07:21:00,1994-07-19 14:00:00,1994-07-20 07:21:00,1994-10-17 14:00:00,11200,0.04,2.147962,19330.3125,8999.375,-0.10813698630136986,-246.6875,2281.25,1,18.625
30,tf,1990-10-23 07:21:00,1994-10-17 14:00:00,1994-10-18 07:21:00,1995-01-18 14:00:00,16000,0.04,2.081283,15998.5625,7686.875,-0.37985588248879854,-1027.9375,2706.125,1,18.625
31,tf,1991-01-23 07:21:00,1995-01-18 14:00:00,1995-01-19 07:21:00,1995-04-19 14:00:00,11200,0.04,4.048339,20973.9375,5180.875,2.154,4240.6875,1968.75,0,18.625
32,tf,1991-04-24 07:21:00,1995-04-19 14:00:00,1995-04-20 07:21:00,1995-07-19 14:00:00,11200,0.04,5.21364,26979.9375,5174.875,0.7162431179818968,2878.3125,4018.625,1,18.625
33,tf,1991-07-24 07:21:00,1995-07-19 14:00:00,1995-07-20 07:21:00,1995-10-18 14:00:00,11200,0.04,6.080787,31467.3125,5174.875,-0.023997479186706028,-90.4375,3768.625,1,18.625
34,tf,1991-10-22 07:21:00,1995-10-18 14:00:00,1995-10-19 07:21:00,1996-01-19 14:00:00,11200,0.04,4.218834,26261.1875,6224.75,1.4954848484848484,3084.4375,2062.5,0,18.625
35,tf,1992-01-22 07:21:00,1996-01-19 14:00:00,1996-01-22 07:21:00,1996-04-19 14:00:00,11200,0.04,4.718834,29373.5625,6224.75,1.1616106033781521,3034.5625,2612.375,1,18.625
36,tf,1992-04-22 07:21:00,1996-04-19 14:00:00,1996-04-22 07:21:00,1996-07-19 14:00:00,11200,0.04,5.065234,31529.8125,6224.75,-0.33664444444444447,-946.8125,2812.5,0,18.625
37,tf,1992-07-22 07:21:00,1996-07-19 14:00:00,1996-07-22 07:21:00,1996-10-18 14:00:00,11200,0.04,4.673652,29092.3125,6224.75,-0.5299347362813,-2984.0625,5631.0,2,18.625
38,tf,1992-10-20 07:21:00,1996-10-18 14:00:00,1996-10-21 07:21:00,1997-01-22 14:00:00,11200,0.04,3.592274,24336.3125,6774.625,0.40862459739949897,1284.5625,3143.625,1,18.625
39,tf,1993-01-20 07:21:00,1997-01-22 14:00:00,1997-01-23 07:21:00,1997-04-23 14:00:00,11200,0.04,3.670692,24867.5625,6774.625,-0.5935599778883361,-2952.8125,4974.75,2,18.625
40,tf,1993-04-21 07:21:00,1997-04-23 14:00:00,1997-04-24 07:21:00,1997-07-23 14:00:00,8000,0.04,4.209493,25912.0625,6155.625,3.5195,3959.4375,1125.0,0,18.625
41,tf,1993-07-21 07:21:00,1997-07-23 14:00:00,1997-07-24 07:21:00,1997-10-22 14:00:00,8000,0.04,5.11919,31511.8125,6155.625,-0.8223463862021473,-3283.9375,3993.375,3,18.625
42,tf,1993-10-19 07:21:00,1997-10-22 14:00:00,1997-10-23 07:21:00,1998-01-26 14:00:00,8000,0.04,4.781105,29430.6875,6155.625,-0.31094468964221994,-827.8125,2662.25,2,18.625
43,tf,1994-01-18 07:21:00,1998-01-26 14:00:00,1998-01-27 07:21:00,1998-04-27 14:00:00,9600,0.04,3.04231,19868.1875,6530.625,-0.5785744575588381,-2046.5625,3537.25,2,18.625
44,tf,1994-04-19 07:21:00,1998-04-27 14:00:00,1998-04-28 07:21:00,1998-07-27 14:00:00,9600,0.04,1.763757,11518.4375,6530.625,-0.274606688275753,-434.1875,1581.125,1,18.625
45,tf,1994-07-20 07:21:00,1998-07-27 14:00:00,1998-07-28 07:21:00,1998-10-26 14:00:00,9600,0.03,1.762126,12465.9375,7074.375,1.279197632578942,4754.9375,3717.125,2,18.625
46,tf,1994-10-18 07:21:00,1998-10-26 14:00:00,1998-10-27 07:21:00,1999-01-28 14:00:00,9600,0.03,2.112265,15417.6875,7299.125,-0.46026470588235296,-978.0625,2125.0,0,18.625
47,tf,1995-01-19 07:21:00,1999-01-28 14:00:00,1999-01-29 07:21:00,1999-04-29 14:00:00,9600,0.03,2.473995,18058.0,7299.125,0.3553880074018662,1128.3125,3174.875,1,18.625
48,tf,1995-04-20 07:21:00,1999-04-29 14:00:00,1999-04-30 07:21:00,1999-07-29 14:00:00,9600,0.03,2.248814,16414.375,7299.125,0.7617550407724452,2347.0625,3081.125,1,18.625
49,tf,1995-07-20 07:21:00,1999-07-29 14:00:00,1999-07-30 07:21:00,1999-10-28 14:00:00,9600,0.03,1.746374,12747.0,7299.125,-0.7294940289126336,-4062.1875,5568.5,2,18.625
50,tf,1995-10-19 07:21:00,1999-10-28 14:00:00,1999-10-29 07:21:00,2000-01-31 14:00:00,6400,0.03,0.771193,8096.5625,10498.75,8.109035714285714,14190.8125,1750.0,1,18.625
51,tf,1996-01-22 07:21:00,2000-01-31 14:00:00,2000-02-01 07:21:00,2000-05-01 14:00:00,4800,0.01,2.740347,18328.8125,6688.5,0.4465229027421572,995.8437499999854,2230.21875,5,18.625
52,tf,1996-04-22 07:21:00,2000-05-01 14:00:00,2000-05-02 07:21:00,2000-07-31 14:00:00,4800,0.01,2.974027,19891.78125,6688.5,-0.29848340879027,-1001.2812500000146,3354.5625000000146,6,18.625
53,tf,1996-07-22 07:21:00,2000-07-31 14:00:00,2000-08-01 07:21:00,2000-10-30 14:00:00,7200,0.01,3.539147,21550.75,6089.25,-0.09264797607433589,-181.03125,1953.96875,3,18.625
