Market,BarMinutes,RunType,PythonProfit,CppProfit,PythonMaxDD,CppMaxDD,PythonRoA,CppRoA,PythonClosedTrades,CppClosedTrades,ProfitPctError,MaxDDPctError,RoAPctError,TradesPctError,Within10Pct
TY,5,walkforward_oos,68335.51562499988,68335.515625,15864.70312499997,15864.703125,4.307393279696181,4.307393,395,395,1.703584450372468e-15,1.83450205323232e-15,6.493398231427644e-08,0.0,True
TY,5,full_sample,87864.7187499995,87864.71875,17186.46875000006,17186.46875,5.112435837059269,5.112436,724,724,5.630987326918098e-15,3.3868307539015196e-15,3.187144663128872e-08,0.0,True
TY,5,reference_in_sample,89464.9375,89464.9375,18903.25,18903.25,4.732781,4.732781,154,154,0.0,0.0,0.0,0.0,True
TY,5,reference_out_of_sample,4392.625,4392.625,33128.5,33128.5,0.132594,0.132594,71,71,0.0,0.0,0.0,0.0,True
TY,5,reference_full,93513.8125,93513.8125,33128.5,33128.5,2.82276,2.82276,225,225,0.0,0.0,0.0,0.0,True
BTC,5,walkforward_oos,536396.9999999995,536397.0,131729.25,131729.25,4.071965793474111,4.071966,1094,1094,8.68128060574051e-16,0.0,5.0718962003875785e-08,0.0,True
BTC,5,full_sample,1737781.25,1737781.25,131729.25,131729.25,13.192068200494576,13.192068,5016,5016,0.0,0.0,1.5198115686520513e-08,0.0,True
BTC,5,reference_in_sample,744673.75,744673.75,26967.25,26967.25,27.614004,27.614004,2325,2325,0.0,0.0,0.0,0.0,True
BTC,5,reference_out_of_sample,449022.5,449022.5,103823.5,103823.5,4.324864,4.324864,936,936,0.0,0.0,0.0,0.0,True
BTC,5,reference_full,1193696.25,1193696.25,103823.5,103823.5,11.497361,11.497361,3261,3261,0.0,0.0,0.0,0.0,True
TY,1,walkforward_oos,71952.35937499985,71952.359375,15603.093750000058,15603.09375,4.611416205520113,4.611416,401,401,2.0224375343309377e-15,3.730520488186352e-15,4.456768006357925e-08,0.0,True
TY,1,full_sample,97670.56249999948,97670.5625,13827.50000000003,13827.5,7.063501175194307,7.063501,772,772,5.3636319358886325e-15,2.104778915692186e-15,2.480275815938697e-08,0.0,True
TY,1,reference_in_sample,91467.8125,91467.8125,18981.375,18981.375,4.818819,4.818819,157,157,0.0,0.0,0.0,0.0,True
TY,1,reference_out_of_sample,4408.25,4408.25,33191.0,33191.0,0.132815,0.132815,71,71,0.0,0.0,0.0,0.0,True
TY,1,reference_full,95516.6875,95516.6875,33191.0,33191.0,2.877789,2.877789,228,228,0.0,0.0,0.0,0.0,True
